Authors;Article Title;Source Title;DOI;Document Type;Publication Year;Abstract;ISSN;eISSN
"Zhang, Heyang; Wu, Xiaopeng; Ju, Mingyue";Developing a cognitive model of solid geometry based on Interpretive Structural Modeling method;HELIYON;10.1016/j.heliyon.2024.e27063;Article;2024;With the advancement of science and artificial intelligence, education is experiencing significant innovation. The adaptive learning system is emerging as a promising approach to achieving personalized learning. The cognitive model plays a crucial role as the fundamental rationale behind the adaptive learning system. Currently, there is no uniform and highly operational method for constructing cognitive models. This study adopts Interpretive Structural Modeling (ISM) as the foundational approach for constructing a cognitive model of solid geometry. Based on literature and expert opinions, 17 cognitive attributes of high school solid geometry were identified. Subsequently, a questionnaire survey involving 40 experts was conducted to establish the contextual relationships among these attributes. Applying the ISM method resulted in a sevenlevel model. This model was then revised based on expert opinions to create the final cognitive model, revealing three primary paths within the domain of high school solid geometry. This paper contends that the use of the ISM method for constructing cognitive models is effective and objective. The resulting cognitive model unveils the content structure of high school solid geometry, and provides an innovative perspective on the construction of cognitive models.;;2405-8440
"Xing, Wanli; Song, Yukyeong; Li, Chenglu; Liu, Zifeng; Zhu, Wangda; Oh, Hyunju";Development of a generative AI-powered teachable agent for middle school mathematics learning: A design-based research study;BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;10.1111/bjet.13586;"Article; Early Access";2025;This paper reports on a design-based research (DBR) study that aims to devise an artificial intelligence (AI)-powered teachable agent that supports secondary school students' learning-by-teaching practices of mathematics learning content. A long-standing pedagogical practice of learning-by-teaching is powered by a recent advancement of generative AI technologies, yielding our teachable agent called ALTER-Math. This study chronicles one usability testing and three cycles of iterative design and implementation process of ALTER-Math. The three empirical studies involved a total of 320 middle school students and six teachers in authentic classroom settings. The first study was exploratory, focusing on the qualitative feedback from the students and teachers through open-ended surveys, interviews and classroom observations. The second study yielded a medium-high (M = 3.26) quantitative survey result on students' perceived engagement and usability on top of the qualitative findings. Finally, the final study included pre- and post-knowledge tests in a quasi-experimental study design as well as student and teacher interviews. The final study revealed a bigger significant knowledge improvement in students who used ALTER-Math compared to the control group, suggesting a positive impact of AI-powered teachable agents on students' learning. The design implications learned from multiple iterations are discussed to inform the future design of AI-powered learning technologies.Practitioner notes What is already known about this topic Learning-by-teaching is a long-standing effective pedagogical strategy to enhance students' domain knowledge and feelings of responsibility in learning. Various teachable agents have been developed and have demonstrated benefits in students' learning. Generative AI offers the potential to provide naturalistic, contextualised and adaptive conversations. What this paper adds Develops a novel generative AI-powered teachable agent for middle school mathematics learning, called ALTER-Math. Reports the iterative design process involving empirical classroom implementations of ALTER-Math. Reveals a bigger significant improvement in the student's mathematical knowledge after using ALTER-Math, compared to the control group. Implications for practice and/or policy Researchers can be inspired by this design example of a theoretically grounded generative AI learning technology. Educational technology designers could hear the real voices of students and teachers about the generative AI learning technologies. Researchers and educational technology designers could be directed by the design implications to the future design of AI-powered learning technologies and teachable agents.;0007-1013;1467-8535
"Li, Ruiyu; Deng, Rui; Song, Ting; Xiao, Yan; Wang, Qi; Fang, Zhijie; Huang, Yuan; Jiao, Feng; Chen, Ying";Gender-specific factors of suicidal ideation among high school students in Yunnan province, China: A machine learning approach;JOURNAL OF AFFECTIVE DISORDERS;10.1016/j.jad.2024.08.072;Article;2024;Background: Suicidal ideation (SI) assumes a pivotal role in predicting suicidal behaviors. The incidence of SI among high (junior and senior) school students is significantly higher than that of other age groups. The aim of this study is to explore the gender differences in SI among high school students in Yunnan Province. Method: A total of 6180 students in grades 7-12 in Yunnan province, China from May 2021 to May 2022 participated in this survey. Univariate analysis was employed to describe the influencing factors of male and female students' SI. Subsequently, data were stratified by gender. Adopting machine learning technique, including Least Absolute Shrinkage and Selection Operator (Lasso) and Boruta algorithm, and logistic regression model to estimate the direction and effect magnitude of the influencing factors. Results: The prevalence of SI was significantly higher for females (31.34 %) than males (16.73 %). The logistic regression model was established using the variables screened by Boruta algorithm, indicated that anxiety, depression, suffering emotion abuse or emotion neglect in childhood, non-suicidal self-injury, evening chronotype are common risk factors for SI in male and female students. Notably, female students who exhibited aggressive behavior, have experienced bullying, and were in the junior high school learning stage were more likely to report SI than their male counterparts. Conclusions: Females showed more vulnerability to SI than males especially among females in junior high school, reporting aggressive behavior and bullying experiences. Tailored prevention strategies, informed by these gender-related distinctions, should be developed and implemented.;0165-0327;1573-2517
"Sahin, Suat; Erol, Cigdem";Prediction of Secondary School Students' Academic Achievements with Machine Learning Methods and a Sample System;CYBERNETICS AND SYSTEMS;10.1080/01969722.2022.2122014;Article;2024;This study intends to predict the secondary school students' academic achievements using machine learning methods, to determine the features that have the greatest influence on achievement, and to develop a system for the prediction of academic achievement. In line with this objective, the prediction of year-end weighted grade point averages using secondary school students' socioeconomic, demographic characteristics, and course grade data is addressed as a classification problem. The data set used in the present study was collected from students studying at a secondary school in Istanbul province of Turkey. With the purpose of classification of the target variable, 7 machine learning algorithms, including K-Nearest Neighbor, Decision Trees, Random Forest, Support Vector Machines, Multilayer Perceptron, Logistic Regression, and Naive Bayes were applied, and their performances were compared. According to the results of the model performance evaluation, it becomes clear that the most successful model was the Random Forest algorithm (accuracy: 80.73%). The sample system developed based on the Random Forest model can be accessed at the following address: https://model-tahmin.herokuapp.com . The features of the students' academic background (grade point average of past years, Turkish course 1st-semester average, and Math 1stsemester average) were found as the features that most affect achievement.;0196-9722;1087-6553
"Bruckhaus, Alexander A.; Bennett, Alexis; Brawer-Cohen, Maya; Sinclair, Michael; Ramirez-De La Cruz, Glendy; Ragusa, Gisele; Duncan, Dominique";Evaluation of students' digital literacy through an immersive university-high school collaboration;FRONTIERS IN EDUCATION;10.3389/feduc.2024.1429893;Review;2024;Introduction Recent efforts including the U.S. Department of Education's Raise the Bar: STEM Excellence for All Students, designed to strengthen Science, Technology, Engineering and Mathematics (STEM) education, typify the development of effective outreach programs implemented in high school settings to increase STEM achievement and literacy and to promote future careers in STEM. Specifically, artificial intelligence (AI) and machine learning (ML) are topics of great importance and interest but are often reserved for higher-level education. Introductions of complex subjects in high school promotes student efficacy, enthusiasm, and skill-development for STEM careers. Establishing strong partnerships between universities and high schools is mutually beneficial for the professional development of students, teachers, and professors. In this paper, we detail immersive outreach efforts and their effectiveness in a high school setting.Methods From Spring 2021 to Spring 2024, we conducted eight data-science and analysis-coding style workshops along with two data science units, with 302 students participating in the data science workshops and 82 students in the data science units. All students who participated in the data science lessons completed a comprehensive final project. Surveys measuring knowledge and appeal to data science and coding were conducted both retrospectively and prospectively, before and after each workshop and the data science units. A 1 year follow up survey was conducted for students in the 2023 data science lessons (n = 23).Results Overall, average student interest significantly increased from 2.72 +/- 1.08/5.0 (n = 205) to 3.15 +/- 1.18/5.0 (n = 181, p = 0.001) during the data science workshops, while 70% of students expressed desire to continue with coding. Interest modestly increased in the data science lessons from 3.15 +/- 0.65/4.0 to 3.17 +/- 0.77/4.0 (n = 82, p = 0.8571), while knowledge significantly increased from 64.16% to 88.5% (% correct out of six questions) in the 2023 data science lessons and from 52.62% to 60.79% (% correct out of 29 questions) in the 2024 data science lessons.Discussion Increasing STEM exposure through outreach programs and a modified curriculum can positively alter students' career trajectory and prepare them for the evolving technologically advanced world and the careers within it.;;2504-284X
"Sokkhey, Phauk; Navy, Sin; Tong, Ly; Okazaki, Takeo";Multi-models of Educational Data Mining for Predicting Student Performance in Mathematics: A Case Study on High Schools in Cambodia;IEIE Transactions on Smart Processing & Computing;10.5573/IEIESPC.2020.9.3.217;research-article;2020;Education is crucial for the development of any country. Analysis of education datasets requires effective algorithms to extract hidden information and gain the fruitful results to improve academic performance. Multiple models were used to maximize the contribution to the education environment. In this study, we used the spot-checking algorithm to compare these methods and find the most effective method. We propose three main classes of education research tools: a statistical analysis method, machine learning algorithms, and a deep learning framework. The data were obtained from many high schools in Cambodia. We introduced feature selection techniques to figure out the informative features that affect the future performance of students in mathematics.The proposed ensemble methods of tree-based classifiers provide satisfiying results, and in that, random forest algorithm generates the highest accuracy and the lowest predictive mean squared error, thus showing potential in this prediction and classification problem. The results from this work can be used as recipe and recommendation for mining various material settings in improving high school student performance in Cambodia.;2287-5255;
"Costa-Mendes, Ricardo; Oliveira, Tiago; Castelli, Mauro; Cruz-Jesus, Frederico";A machine learning approximation of the 2015 Portuguese high school student grades: A hybrid approach;EDUCATION AND INFORMATION TECHNOLOGIES;10.1007/s10639-020-10316-y;Article;2021;This article uses an anonymous 2014-15 school year dataset from the Directorate-General for Statistics of Education and Science (DGEEC) of the Portuguese Ministry of Education as a means to carry out a predictive power comparison between the classic multilinear regression model and a chosen set of machine learning algorithms. A multilinear regression model is used in parallel with random forest, support vector machine, artificial neural network and extreme gradient boosting machine stacking ensemble implementations. Designing a hybrid analysis is intended where classical statistical analysis and artificial intelligence algorithms are blended to augment the ability to retain valuable conclusions and well-supported results. The machine learning algorithms attain a higher level of predictive ability. In addition, the stacking appropriateness increases as the base learner output correlation matrix determinant increases and the random forest feature importance empirical distributions are correlated with the structure ofp-values and the statistical significance test ascertains of the multiple linear model. An information system that supports the nationwide education system should be designed and further structured to collect meaningful and precise data about the full range of academic achievement antecedents. The article concludes that no evidence is found in favour of smaller classes.;1360-2357;1573-7608
"Chen, Feng; Chen, Jihe; Xu, Yanying";The More Anxious, the More Dependent? The Impact of Math Anxiety on AI-Assisted Problem-Solving;PSYCHOLOGY IN THE SCHOOLS;10.1002/pits.23500;"Article; Early Access";2025;"Although the use of AI technology driven by anxiety has become increasingly common, research on the relationship between high school students' math anxiety and their intention to use AI for problem-solving remains limited. This study, grounded in the Stimulus-Organism-Response (SOR) model, aims to explore the relationship between math anxiety and the intention to use AI for solving math problems among high school students. Using the Math Anxiety Scale (AMAS), the Perceived Social Support Scale (PSSS), and the AI Problem-Solving Behavior Scale (AIPS), data from 391 high school students were collected. The analysis revealed the following: (1) Students report high levels of math anxiety and a strong inclination to use AI tools for solving math problems; (2) Social support plays a significant role in alleviating math anxiety, with family support being the most effective, followed by support from friends and teachers; (3) High levels of family support are the most effective means of reducing math anxiety. The study suggests that the relationship between math anxiety and AI use intention should be addressed, with a focus on regulating the application of AI in math education to promote its scientific and effective use. Additionally, improving family relationships and providing mental health support are recommended to alleviate math anxiety from an emotional and social support perspective. This study provides valuable insights for educators and policymakers, offering important references for designing more human-centered and effective educational interventions, thereby promoting the application of artificial intelligence technology in mathematics education.";0033-3085;1520-6807
"Huang, Xiaodong; Qiao, Chengche";Enhancing Computational Thinking Skills Through Artificial Intelligence Education at a STEAM High School;SCIENCE & EDUCATION;10.1007/s11191-022-00392-6;Article;2024;Artificial intelligence is the unification of philosophy, cognitive science, mathematics, neurophysiology, psychology, computer science, information theory, cybernetics, and uncertainty theory. Therefore, it is feasible and necessary to utilize STEAM (Science, Technology, Engineering, Liberal Arts, and Mathematics) education to learn artificial intelligence courses. Computational thinking skills are of vital importance to high school students. This paper integrates artificial intelligence education with STEAM model with the aim of enhancing students' computational thinking skills. First, we investigate the feasibility of this model and set teaching objectives about artificial intelligence curricula. Second, artificial intelligence curricula with STEAM model is proposed to carry out interdisciplinary artificial intelligence knowledge acquisition. Finally, the effects of this model on students' computational thinking skills, learning motivation, and self-efficacy are evaluated. One hundred thirty-six participants are recruited from a high school in Beijing. The results reveal that the integration of artificial intelligence education with STEAM is able to promote computational thinking skills, learning motivation, and self-efficacy of the students in the experimental group. The main implication of this study is that artificial intelligence education in light of STEAM model can be used as a teaching guide for the combination of artificial intelligence curricula with multi-disciplinary knowledge at the primary and secondary levels.;0926-7220;1573-1901
"Assiri, Basem; Bashraheel, Mohammed; Alsuri, Ala";Enhanced Student Admission Procedures at Universities Using Data Mining and Machine Learning Techniques;APPLIED SCIENCES-BASEL;10.3390/app14031109;Article;2024;The progress of technology has played a crucial role in enhancing various fields such as education. Universities in Saudi Arabia offer free education to students and follow specific admission policies. These policies usually focus on features and scores such as the high school grade point average, general aptitude test, and achievement test. The main issue with current admission policies is that they do not fit with all majors, which results in high rates of failure, dropouts, and transfer. Another issue is that all mentioned features and scores are cumulatively calculated, which obscures some details. Therefore, this study aims to explore admission criteria used in Saudi Arabian universities and the factors that influence students' choice of major. First, using data mining techniques, the research analyzes the relationships and similarities between the university's grade point average and the other student admission features. The study proposes a new Jaccard model that includes modified Jaccard and approximated modified Jaccard techniques to match the specifications of students' data records. It also uses data distribution analysis and correlation coefficient analysis to understand the relationships between admission features and student performance. The investigation shows that relationships vary from one major to another. Such variations emphasize the weakness of the generalization of the current procedures since they are not applicable to all majors. Additionally, the analysis highlights the importance of hidden details such as high school course grades. Second, this study employs machine learning models to incorporate additional features, such as high school course grades, to find suitable majors for students. The K-nearest neighbor, decision tree, and support vector machine algorithms were used to classify students into appropriate majors. This process significantly improves the enrolment of students in majors that align with their skills and interests. The results of the experimental simulation indicate that the K-nearest neighbor algorithm achieves the highest accuracy rate of 100%, while the decision tree algorithm's accuracy rate is 81% and the support vector machine algorithm's accuracy rate is 75%. This encourages the idea of using machine learning models to find a suitable major for applicants.;;2076-3417
Alonso, Jose M.;Teaching Explainable Artificial Intelligence to High School Students;INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS;10.2991/ijcis.d.200715.003;Article;2020;Artificial Intelligence (Al) is part of our everyday life and has become one of the most outstanding and strategic technologies. Explainable Al (XAI) is expected to endow intelligent systems with fairness, accountability, transparency and explanation ability when interacting with humans. This paper describes how to teach fundamentals of XAI to high school students who take part in interactive workshop activities at CiTIUS-USC. These workshop activities are carried out in the context of a strategic plan lot promoting careers on Science, Technology Engineering and Mathematics. Students learn (1) how to build datasets free of bias, (2) how to build interpretable classifiers and (3) how to build multi-modal explanations. (C) 2020 The ituthors. Published by Atlantis Press B.V.;1875-6891;1875-6883
