"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GUM5UDMW","journalArticle","2023","Chang, Chi-Ning; Lin, Shuqiong; Kwok, Oi-Man; Saw, Guan Kung","Predicting STEM Major Choice: A Machine Learning Classification and Regression Tree Approach","Journal for STEM Education Research","","2520-8713","","","Despite the increasing demand for professionals in science, technology, engineering, and mathematics (STEM), only a small portion of young people in the USA pursue a postsecondary degree in STEM. To identify the major predictors of STEM participation, this study uses a machine learning approach, a Classification and Regression Tree (CART), to analyze a wide range of individual, family, and school factors obtained from national survey data of US high school freshmen in fall 2009 who eventually enrolled in STEM college majors by 2016. The analytic results indicate that calculus credits, science identity, total STEM credits, and math achievement are the most predictive factors during the high school years of college STEM major selection. The CART-based tree also shows how these four variables interactively predict the likelihood of students enrolling in STEM college majors.","2023","2025-05-02 01:52:39","2025-05-02 01:52:39","","358-374","","2","6","","","","","","","","","","English","","","","","","","ERIC Number: EJ1420658","","","http://eric.ed.gov/?id=EJ1420658","STEM Education; Predictor Variables; Course Selection (Students); High School Freshmen; Majors (Students)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WKYXCAH","thesis","2024","Delaney, Victoria Leah","The Mathematics of Facial Recognition: Statistics Teachers' Adaptations to a Machine Learning Curriculum","","","","","","Today's students are surrounded by machine learning (ML)-powered tools. Yet, few understand how they work. While there are numerous opportunities for students to learn about ML in informal settings (e.g., Alvarez et al., 2022; Druga et al., 2022) and online (e.g., code.org, Scratch), there are far fewer opportunities in the United States for students to learn about how ML works while they are in school. Although curriculum and standards frameworks have been developed to help educators navigate machine learning education, it is not yet known if teachers can or want to enact ML curriculum in their practice. As a former classroom teacher and ML graduate student, I saw interdisciplinary commonalities between machine learning and statistics, the subject I used to teach. In response, I co-designed a one-unit curriculum, ""The Math of Facial Recognition"" (""FaceID""), with a practicing high school teacher. We built the curriculum with three goals: (1) that it would aim to help teachers and students build high-level intuitions about ML, (2) that it would draw from teachers' and students' prior statistics knowledge, and (3) that it would bridge statistics and ML concepts by exploring facial recognition in smartphones, a ML application that students likely use everyday. We built custom web applications, termed ""widgets,"" with the purpose of enabling students to explore and test hypotheses about facial recognition using images of themselves. Finally, we designed the curriculum with features that intentionally encouraged statistics teachers to adapt segments and activities of lessons for their students. That teachers would adapt a curriculum for instruction is not surprising; in fact, it is an expected component of good teaching. Drawing from studies in curriculum theory, I argue that teachers' adaptations of curriculum - from written documents, to teacher-intended curricula, to jointly-enacted curricula between teachers and students - are supported by their pedagogical design capacity (PDC) (Brown, 2009). In the context of my study, PDC refers to statistics teachers' diverse resources as designers of instruction: their statistics pedagogical content knowledge (PCK), subject-matter knowledge of statistics, students PCK, general knowledge of pedagogy, and their goals. Teachers' goals may or may not align with goals stated in the written curriculum, which can influence their adaptations. Two key goals of this work are to investigate how teachers' PDC supported their ability to adapt ""FaceID,"" and to identify their rationales for making adaptations. To implement my study, I partnered with three experienced high school statistics teachers who agreed to enact ""FaceID"" in their classrooms. I observed each teacher's enactment, noting where and how teachers made adaptations. I interviewed each teacher before and after they taught the curriculum to learn about their prior knowledge, experiences, goals, and post-implementation, the nature of their adaptations. I also asked each teacher to identify their adaptations separately in a reflection document, because I was curious to understand how teachers defined an ""adaptation"" in their own practice. After concluding my field work, I analyzed the data to determine what adaptations teachers made to ""FaceID"" and their rationales for adapting segments and activities, taking note of instances where teachers interpreted their adaptations differently than the researchers. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","2024","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","","","","","","","","","Stanford University","","","","","ProQuest LLC","","","","ISBN: 9798342137614 ERIC Number: ED663330","","","http://eric.ed.gov/?id=ED663330","Artificial Intelligence; Technology Uses in Education; Mathematics Teachers; Interdisciplinary Approach; Handheld Devices; Pedagogical Content Knowledge; Change; Differences; High School Teachers; Relevance (Education); Statistics Education; Teaching Experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMW4I7JX","report","2023","Almoubayyed, Husni; Bastoni, Rae; Berman, Susan R.; Galasso, Sarah; Jensen, Megan; Lester, Leila; Murphy, April; Swartz, Mark; Weldon, Kyle; Fancsali, Stephen E.; Gropen, Jess; Ritter, Steve","Rewriting Math Word Problems to Improve Learning Outcomes for Emerging Readers: A Randomized Field Trial in Carnegie Learning's MATHia","","","","","","We present a recent randomized field trial delivered in Carnegie Learning's MATHia's intelligent tutoring system to a sample of 12,374 learners intended to test whether rewriting content in a selection of so-called ""word problems"" improves student mathematics performance within this content, especially among students who are emerging as English language readers. In addition to describing facets of word problems targeted for rewriting and the design of the experiment, we present an artificial intelligence-driven approach to evaluating the effectiveness of the rewrite intervention for a sub-population of learners of interest. We hypothesize that the intervention may be especially effective to emerging readers using MATHia. Data about students' reading ability is generally neither collected nor available to MATHia's developers. Instead, we rely on a recently developed neural network predictive model that infers whether a student is an emerging reader. We present the results of the intervention on a variety of performance metrics in MATHia and compare performance of the intervention group to the entire user base of MATHia, as well as by comparing likely emerging readers to those who are not inferred to be emerging readers. We conclude with areas for future work using these kinds of more comprehensive models of learners. [This paper was published in: ""The 24th International Conference on Artificial Intelligence in Education (AIED 2023): Artificial Intelligence in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners, Doctoral Consortium and Blue Sky,"" 2023.]","2023","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","","","","","","","","","Grantee Submission","","","","","","","","","ERIC Number: ED667961","","","http://eric.ed.gov/?id=ED667961","Artificial Intelligence; Intelligent Tutoring Systems; Mathematics Instruction; Program Effectiveness; Mathematics Achievement; Secondary School Mathematics; Middle School Students; English Learners; Reading Skills; Word Problems (Mathematics)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PM6KH3GA","journalArticle","2025","Payadnya, I. Putu Ade Andre; Putri, Gusti Ayu Made Arna; Suwija, I. Ketut; Saelee, Sompob; Jayantika, I. Gusti Agung Ngurah Trisna","Cultural Integration in AI-Enhanced Mathematics Education: Insights from Southeast Asian Educators","Journal for Multicultural Education","","2053-535X","","","Purpose: Artificial intelligence (AI) is increasingly used in education, yet its cultural impact, especially in Southeast Asian mathematics education, remains underexplored. This gap is significant because understanding cultural adaptation is essential for AI tools to effectively enhance learning in diverse classrooms. This study examines how AI can be integrated into mathematics education across Southeast Asia, focusing on specific cultural practices such as communal learning styles, respect for hierarchical structures and the role of local languages, as well as educators' perspectives. Design/methodology/approach: A mixed-methods approach was used, combining quantitative data from questionnaires with qualitative insights from interviews with educators across ten Southeast Asian countries. The study included 543 respondents in total with the numbers is varying in each country, targeting high school teachers experienced in using AI in teaching. Findings: The findings revealed that educators in Singapore are most confident in AI's adaptability to cultural contexts, whereas those in Myanmar and Laos face challenges due to infrastructure limitations. Interviews highlighted the need to customize AI tools to align with students' cultural backgrounds, including language preferences and traditional learning practices, for effective implementation. Teacher training and access to technology, especially in rural areas, were also identified as critical factors. Originality/value: This study addresses a critical gap in understanding AI's cultural implications in Southeast Asia, providing insights into how cultural values, language and educational practices influence the integration of AI in mathematics education. The findings highlight the need for culturally responsive AI tools and targeted improvements in infrastructure and teacher training for successful implementation.","2025","2025-05-02 01:52:39","2025-05-02 01:52:39","","58-72","","1","19","","","","","","","","","","English","","","","","","","ERIC Number: EJ1459440","","","http://eric.ed.gov/?id=EJ1459440","Artificial Intelligence; Technology Integration; Technology Uses in Education; Foreign Countries; Mathematics Education; Mathematics Teachers; Teacher Attitudes; Culturally Relevant Education; High School Teachers; Asians; Cultural Awareness; Cultural Context; Influence of Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U99774Y3","journalArticle","2022","Johnson, Odis; Jabbari, Jason","Suspended While Black in Majority White Schools: Implications for Math Efficacy and Equity","Educational Forum","","0013-1725","","","This article explores whether racial disparities in mathematics arise in majority White schools for students who receive in-school suspensions (ISS). Using data from the High School Longitudinal Survey and machine learning generated propensity scores to estimate average treatment effects, we find Black suspended students in schools with low White enrollment have math test scores and efficacy beliefs no different than non-suspended Black students, but experience declines in their math scores as the percentage of White enrollment increases.","2022","2025-05-02 01:52:39","2025-05-02 01:52:39","","26-50","","1","86","","","","","","","","","","English","","","","","","","ERIC Number: EJ1326840","","","http://eric.ed.gov/?id=EJ1326840","Mathematics Achievement; High School Students; Self Efficacy; Student Attitudes; Equal Education; African American Students; Institutional Characteristics; Longitudinal Studies; Racial Differences; Suspension; Whites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMZIA4JC","journalArticle","2024","Cheung, Kwok-cheung; Sit, Pou-seong; Zheng, Jia-qi; Lam, Chi-chio; Mak, Soi-kei; Ieong, Man-kai","A Machine-Learning Model of Academic Resilience in the Times of the COVID-19 Pandemic: Evidence Drawn from 79 Countries/Economies in the PISA 2022 Mathematics Study","British Journal of Educational Psychology","","2044-8279","","","Background: Given that students from socio-economically disadvantaged family backgrounds are more likely to suffer from low academic performance, there is an interest in identifying features of academic resilience, which may mitigate the relationship between disadvantaged socio-economic status and academic performance. Aims: This study sought to combine machine learning and explainable artificial intelligence (XAI) technique to identify key features of academic resilience in mathematics learning during COVID-19. Materials and Methods: Based on PISA 2022 data in 79 countries/economies, the random forest model coupled with Shapley additive explanations (SHAP) value technique not only uncovered the key features of academic resilience but also examined the contributions of each key feature. Results: Findings indicated that 35 features were identified in the classification of academically resilient and non-academically resilient students, which largely validated the previous academic resilient framework. Notably, gender differences were shown in the distribution of some key features. Research findings also indicated that resilient students tended to have a stable emotional state, high levels of self-efficacy, low levels of truancy and positive future aspirations. Discussion: This study has established a research paradigm essentially methodological in nature to bridge the gap between psychological theories and big data in the field of educational psychology. Conclusion: To sum up, our study shed light on the issues of education equity and quality from a global perspective in the times of the COVID-19 pandemic.","2024","2025-05-02 01:52:39","2025-05-02 01:52:39","","1224-1244","","4","94","","","","","","","","","","English","","","","","","","ERIC Number: EJ1447835","","","http://eric.ed.gov/?id=EJ1447835","Artificial Intelligence; Foreign Countries; Mathematics Achievement; Achievement Tests; COVID-19; Gender Differences; International Assessment; Pandemics; Resilience (Psychology); Secondary School Students; Socioeconomic Status","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"744URC3A","report","2023","Barana, Alice; Marchisio, Marina; Roman, Fabio","Fostering Problem Solving and Critical Thinking in Mathematics through Generative Artificial Intelligence","","","","","","The spread of Artificial Intelligence (AI) has been recently generating worries among teachers and educators about the validity of assessment when students make use of AI tools to solve tasks. To tackle this issue, we propose mathematical problem solving activities to be carried out with the aid of ChatGPT, showing how problem solving and critical thinking continue to be pivotal in solving mathematical problems, even if this is performed with the aid of AI. After discussing theoretical frameworks on strategies of problem solving and phases of the critical thinking process, we present six problems of combinatorics that we submitted to ChatGPT. We also asked 40 university students to solve the six problems in group with the aid of ChatGPT during an international module on Problem Solving and Critical Thinking and collected the tutors' observations about the activities. Analyzing ChatGPT solutions and tutors' reflections, we show that the proposed activity requires problem solving and critical thinking to be accomplished. The results corroborate the idea that, instead of limiting the use of AI in education, it is possible to integrate it within learning and assessment to achieve the learning goals. [For the full proceedings, see ED636095.]","2023","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","","","","","","","","","International Association for Development of the Information Society","","","","","","","","","ERIC Number: ED636445","","","http://eric.ed.gov/?id=ED636445","Artificial Intelligence; Mathematics Instruction; Educational Technology; High School Students; College Students; Critical Thinking; Problem Solving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRMMKRK4","journalArticle","2022","Bogina, Veronika; Hartman, Alan; Kuflik, Tsvi; Shulner-Tal, Avital","Educating Software and AI Stakeholders about Algorithmic Fairness, Accountability, Transparency and Ethics","International Journal of Artificial Intelligence in Education","","1560-4306","","","This paper discusses educating stakeholders of algorithmic systems (systems that apply Artificial Intelligence/Machine learning algorithms) in the areas of algorithmic fairness, accountability, transparency and ethics (FATE). We begin by establishing the need for such education and identifying the intended consumers of educational materials on the topic. We discuss the topics of greatest concern and in need of educational resources; we also survey the existing materials and past experiences in such education, noting the scarcity of suitable material on aspects of fairness in particular. We use an example of a college admission platform to illustrate our ideas. We conclude with recommendations for further work in the area and report on the first steps taken towards achieving this goal in the framework of an academic graduate seminar course, a graduate summer school, an embedded lecture in a software engineering course, and a workshop for high school teachers.","2022-09","2025-05-02 01:52:39","2025-05-02 01:52:39","","808-833","","3","32","","","","","","","","","","English","","","","","","","ERIC Number: EJ1346940","","","http://eric.ed.gov/?id=EJ1346940","Artificial Intelligence; Educational Technology; Computer Software; Ethics; Mathematics; High School Teachers; Accountability; College Admission; Educational Resources; Engineering Education; Graduate Study; Lecture Method; Seminars; Stakeholders; Summer Schools; Teacher Workshops","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGRTAFHW","journalArticle","2024","Soares, Pedro San Martin","Combining Statistical and Machine Learning Methods to Identify Predictors of Brazilian Students' Proficiency in PISA 2018","Journal of Psychoeducational Assessment","","1557-5144","","","Brazil's education system lags behind international standards, with two-fifths of students scoring below the minimum level of proficiency in mathematics, science, and reading. Thus, this study combined machine learning with traditional statistics to identify the most important predictors and to interpret their effects on proficiency in the PISA 2018 mathematics, science, and reading tests. Predictors encompassed a wide range of variables, sociodemographic characteristics, teaching and learning processes, and non-cognitive skills. The outcome of the present study was proficiency in mathematics, science, and reading. PISA proficiency levels were grouped into ""low proficiency"" and ""proficient"" categories, using a classification system commonly employed in PISA reports. Using random forest analysis, a machine learning method, I compared the importance of predictors for proficiency in mathematics, science, and reading. I then adjusted multilevel logistic regression analyses to investigate the relationship between the top predictors and the outcomes. Among the top predictors for the three outcomes identified, annual household income, parents' highest occupational status, and early childhood education and care were positively associated with proficiency in mathematics, science, and reading, while grade repetition and additional instruction were negatively associated with these outcomes. These findings urge Brazilian policymakers and educators to prioritize initiatives that strengthen early childhood programs, minimize grade repetition, and promote effective learning strategies.","2024","2025-05-02 01:52:39","2025-05-02 01:52:39","","927-954","","8","42","","","","","","","","","","English","","","","","","","ERIC Number: EJ1446448","","","http://eric.ed.gov/?id=EJ1446448","Artificial Intelligence; Foreign Countries; Mathematics Achievement; Predictor Variables; Achievement Tests; International Assessment; Secondary School Students; Reading Achievement; Science Achievement; Statistical Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJ57BYVU","report","2023","Kurtz, Holly; Lloyd, Sterling; Harwin, Alex; Daniels, Ashlee; Cheseldine, Sarah","Technology and Math Instruction: 10 Charts","","","","","","In a trend buoyed by new technology purchased to accommodate the remote learning necessitated by the coronavirus pandemic, educators are increasingly using devices and apps to teach core subjects, including math. This report examines perceptions and experiences of teachers, principals, and district leaders around the use of such tools for math instruction. The results are based on an online survey administered by the nonprofit, nonpartisan EdWeek Research Center during the spring of 2023. Charts are used to tell the story of math technology use. The report begins with a series of charts based on survey questions that asked math instructors (including those who taught math either full or part-time during the 2022-23 school year) about the quantity and quality of their math technology. It ends with several charts detailing teacher and administrator perceptions of incorporating Artificial Intelligence into math. [This report was sponsored by SMART by Teq.]","2023","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","","","","","","","","","Editorial Projects in Education","","","","","","","","","ERIC Number: ED635877","","","http://eric.ed.gov/?id=ED635877","Artificial Intelligence; Mathematics Instruction; Technology Integration; Technology Uses in Education; Educational Technology; Teacher Attitudes; Elementary School Teachers; High School Teachers; Administrator Attitudes; Middle School Teachers; Principals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A4YIW9G","journalArticle","109","Bulut, Okan; Wongvorachan, Tarid; He, Surina; Lee, Soo","Enhancing High-School Dropout Identification: A Collaborative Approach Integrating Human and Machine Insights","Discover Education","","2731-5525","","","Despite its proven success in various fields such as engineering, business, and healthcare, human-machine collaboration in education remains relatively unexplored. This study aims to highlight the advantages of human-machine collaboration for improving the efficiency and accuracy of decision-making processes in educational settings. High school dropout prediction serves as a case study for examining human-machine collaboration's efficacy. Unlike previous research prioritizing high accuracy with immutable predictors, this study seeks to bridge gaps by identifying actionable factors for dropout prediction through a framework of human--machine collaboration. Utilizing a large dataset from the High School Longitudinal Study of 2009 (HSLS:09), two machine learning models were developed to predict 9th-grade students' high school dropout history. Results indicated that the Random Forest algorithm outperformed the deep learning algorithm. Model explainability revealed the significance of actionable variables such as students' GPA in the 9th grade, sense of school belonging, self-efficacy in mathematics and science, and immutable variables like socioeconomic status in predicting high school dropout history. The study concludes with discussions on the practical implications of human-machine partnerships for enhancing student success.","0109","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","3","","","","","","","","","","English","","","","","","","ERIC Number: EJ1432553","","","http://eric.ed.gov/?id=EJ1432553","Artificial Intelligence; Prediction; High School Students; Grade 9; Man Machine Systems; Predictor Variables; Dropouts; Group Membership; Identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKV8DI78","report","2021","Jimenez, Laura; Boser, Ulrich","The Way Forward for State Standardized Tests. Future of Testing in Education","","","","","","Federal law requires all public school students in grades three to eight to take an annual assessment in reading and math at the end of the year and requires students to take an assessment once during high school. The goal of this assessment is to measure the extent to which all students are meeting the state's academic standards. These standards must align with the knowledge and skills in reading and math that students need to succeed in first-year college reading and math courses. Ensuring all students are held to rigorous standards is a key goal of equity in education. Yet many question the value of yearly standardized testing in schools since the opportunity to receive a high-quality education and graduate high school adequately prepared for college-level academics is still wholly inequitable. Students who are Black, Indigenous, and Hispanic graduate high school at lower rates than their white peers, and they require catch-up coursework in college more often. What is more, the costs and time associated with assessments, delayed results, and failure of tests alone to improve students' academic results leave many to wonder if they are worth the effort at best, and at worst, if they harm students and punish teachers and schools. Still, there are ways to design an assessment to reduce the amount of time it takes to administer, ensure that it collects information about students throughout the year, or base the test on performing tasks. This report describes the advancements in testing technology that make such assessments possible, and it concludes with recommended changes in federal testing policy to make the use of these designs effective. This report is part three in a series about the future of testing in America's schools. Part one of the series ""Effective and Equitable Assessment Systems. Future of Testing in Education"" (ED617053) presents a theory of action that assessments should play in schools. Part two ""Artificial Intelligence. Future of Testing in Education"" (ED617052) reviews advancements in technology, with a focus on artificial intelligence that can powerfully drive learning in real time.","2021","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","","","","","","","","","Center for American Progress","","","","","","","","","ERIC Number: ED617055","","","http://eric.ed.gov/?id=ED617055","Elementary Secondary Education; Computer Assisted Testing; Mathematics Tests; Equal Education; Academic Standards; Academic Ability; Achievement Gap; College Preparation; Educational Quality; Federal State Relationship; Futures (of Society); Government Role; Minority Group Students; Reading Tests; Standardized Tests; State Standards; Test Use; White Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IETVQZR","journalArticle","234","Rowe, Shawn; Riggio, Mariapaola; De Amicis, Raffaele; Rowe, Susan R.","Teacher Perceptions of Training and Pedagogical Value of Cross-Reality and Sensor Data from Smart Buildings","Education Sciences","","2227-7102","","","This paper discusses elementary, and secondary (K-12) teachers' perceptions of cross-reality (XR) tools for data visualization and use of sensor data from the built environment in classroom curricula. Our objective was to explore the use of sensor-informed XR in the built environment and civil engineering (BECE) field to support K-12 science, technology, engineering, and mathematics (STEM) experiential learning and foster BECE-related career awareness. We conducted surveys and informal questionnaires with 33 primary and secondary teachers attending an annual two-day university-based teacher professional development workshop as part of a statewide STEM afterschool program serving students in rural communities. We assessed teachers' familiarity with, knowledge about, and appraisal of using cross-reality platforms and sensor data in classrooms and after school curricula. Findings show that, while all teachers reported relatively high interest in learning about sensor applications and innovative interactive techniques, middle school teachers in particular were most likely to see value in using these applications for teaching and learning. Implications for teacher professional development are discussed.","0234","2025-05-02 01:52:40","2025-05-02 01:52:40","","","","","10","","","","","","","","","","","","","","","","","ERIC Number: EJ1272286","","","http://eric.ed.gov/?id=EJ1272286","Artificial Intelligence; Teacher Attitudes; Elementary School Teachers; Secondary School Teachers; STEM Education; After School Programs; Civil Engineering; Data Analysis; Educational Environment; Experiential Learning; Knowledge Base for Teaching; Knowledge Level; Physical Environment; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMJZKHWD","book","2023","Mack Shelley, Editor; Valarie Akerson, Editor; Mevlut Unal, Editor","","","978-1-952092-48-0","","","","""Proceedings of International Conference on Social and Education Sciences"" includes full papers presented at the International Conference on Social and Education Sciences (IConSES), which took place on October 19-22, 2023, in Las Vegas, Nevada. The aim of the conference is to offer opportunities to share ideas, discuss theoretical and practical issues, and to connect with the leaders in the fields of education and social sciences. The IConSES invites submissions that address the theory, research, or applications in all disciplines of education and social sciences. The IConSES is organized for: faculty members in all disciplines of education and social sciences, graduate students, K-12 administrators, teachers, principals, and all interested in education and social sciences. [Individual papers are indexed in ERIC.]","2023","2025-05-02 01:52:40","2025-05-02 01:52:40","","","","","","","","","","","","","International Society for Technology, Education, and Science","","","","","","","","","ERIC Number: ED656038","","","http://eric.ed.gov/?id=ED656038","Artificial Intelligence; Technology Uses in Education; Educational Technology; Educational Research; Electronic Learning; Robotics; Higher Education; Blended Learning; Special Education; Mathematics; Cultural Awareness; COVID-19; Pandemics; Autism Spectrum Disorders; Conference Papers; Early Childhood Education; Education; In Person Learning; Learning Modalities; Science Education; Second Language Learning; Social Sciences; Student Development; Teacher Student Relationship; Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N877E8BQ","journalArticle","2023","Bednorz, David; Kleine, Michael","Unsupervised Machine Learning to Classify Language Dimensions to Constitute the Linguistic Complexity of Mathematical Word Problems","International Electronic Journal of Mathematics Education","","1306-3030","","","The study examines language dimensions of mathematical word problems and the classification of mathematical word problems according to these dimensions with unsupervised machine learning (ML) techniques. Previous research suggests that the language dimensions are important for mathematical word problems because it has an influence on the linguistic complexity of word problems.Depending on the linguistic complexity students can have language obstacles to solve mathematical word problems. A lot of research in mathematics education research focus on the analysis on the linguistic complexity based on theoretical build language dimensions. To date, however it has been unclear what empirical relationship between the linguistic features exist for mathematical word problems. To address this issue, we used unsupervised ML techniques to reveal latent linguistic structures of 17 linguistic features for 342 mathematical word problems and classify them. The models showed that threeand five-dimensional linguistic structures have the highest explanatory power. Additionally, the authors consider a four-dimensional solution. Mathematical word problem from the three-dimensional solution can be classify in two groups, three- and five-dimensional solutions in three groups. The findings revealed latent linguistic structures and groups that could have an implication of the linguistic complexity of mathematical word problems and differ from language dimensions, which are considered theoretically. Therefore, the results indicate for new design principles for interventions and materials for language education in mathematics learning and teaching.","2023","2025-05-02 01:52:40","2025-05-02 01:52:40","","","","1","18","","","","","","","","","","English","","","","","","","ERIC Number: EJ1379131","","","http://eric.ed.gov/?id=EJ1379131","Artificial Intelligence; Mathematics Instruction; Foreign Countries; Teaching Methods; Classification; Learning Processes; Barriers; Difficulty Level; Intervention; Models; Word Problems (Mathematics); Secondary School Students; Problem Solving; Academic Language; Computational Linguistics; Correlation; Factor Analysis; Instructional Design; Language Usage; Textbooks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8QA5ZVD","journalArticle","2024","Lawson, Alyssa P.; Martella, Amedee Marchand; LaBonte, Kristen; Delgado, Cynthia Y.; Zhao, Fangzheng; Gluck, Justin A.; Munns, Mitchell E.; LeRoy, Ashleigh Wells; Mayer, Richard E.","Confounded or Controlled? A Systematic Review of Media Comparison Studies Involving Immersive Virtual Reality for STEM Education","Educational Psychology Review","","1573-336X","","","A substantial amount of media comparison research has been conducted in the last decade to investigate whether students learn Science, Technology, Engineering, and Mathematics (STEM) content better in immersive virtual reality (IVR) or more traditional learning environments. However, a thorough review of the design and implementation of conventional and IVR conditions in media comparison studies has not been conducted to examine the extent to which specific affordances of IVR can be pinpointed as the causal factor in enhancing learning. The present review filled this gap in the literature by examining the degree to which conventional and IVR conditions have been controlled on instructional methods and content within the K-12 and higher education STEM literature base. Thirty-eight published journal articles, conference proceedings, and dissertations related to IVR comparison studies in STEM education between the years 2013 and 2022 were coded according to 15 categories. These categories allowed for the extraction of information on the instructional methods and content characteristics of the conventional and IVR conditions to determine the degree of control within each experimental comparison. Results indicated only 26% of all comparisons examined between an IVR and conventional condition were fully controlled on five key control criteria. Moreover, 40% of the comparisons had at least one confound related to instructional method and content. When looking at the outcomes of the studies, it was difficult to gather a clear picture of the benefits or pitfalls of IVR when much of the literature was confounded and/or lacked sufficient information to determine if the conditions were controlled on key variables. Implications and recommendations for future IVR comparison research are discussed.","2024","2025-05-02 01:52:40","2025-05-02 01:52:40","","","","3","36","","","","","","","","","","English","","","","","","","ERIC Number: EJ1429662","","","http://eric.ed.gov/?id=EJ1429662","Artificial Intelligence; Elementary Secondary Education; STEM Education; Teaching Methods; Comparative Analysis; Higher Education; Course Content; Mass Media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9MMK4H2","journalArticle","2021","Tan, Li; Main, Joyce B.; Darolia, Rajeev","Using Random Forest Analysis to Identify Student Demographic and High School-Level Factors That Predict College Engineering Major Choice","Journal of Engineering Education","","1069-4730","","","Background: Given the importance of engineers to a nation's economy and potential innovation, it is imperative to encourage more students to consider engineering as a college major. Previous studies have identified a broad range of high school experiences and demographic factors associated with engineering major choice; however, these factors have rarely been ranked or ordered by relative importance. Purpose/Hypothesis: This study leveraged comprehensive, longitudinal data to identify which high school-level factors, including high school characteristics and student high school experiences as well as student demographic characteristics and background, rank as most important in terms of predictive power of engineering major choice. Design/Method: Using data from a nationally representative survey, the High School Longitudinal Study of 2009, and the random forest method, a genre of machine learning, the most important high school-level factors in terms of predictive power of engineering major choice were ranked. Results: Random forest results indicate that student gender is the most important variable predicting engineering major choice, followed by high school math achievement and student beliefs and interests in math and science during high school. Conclusions: Gender differences in engineering major choice suggest wider ranging cultural phenomena that need further investigation and systemic interventions. Research findings also highlight two other areas for potential interventions to promote engineering major choice: high school math achievement and beliefs and interests in math and science. Focusing interventions in these areas may lead to an increase in the number of students pursuing engineering.","2021-07","2025-05-02 01:52:40","2025-05-02 01:52:40","","572-593","","3","110","","","","","","","","","","English","","","","","","","ERIC Number: EJ1304066","","","http://eric.ed.gov/?id=EJ1304066","Mathematics Achievement; High School Students; Predictor Variables; Majors (Students); Longitudinal Studies; Gender Differences; Engineering Education; Class Rank; Demography; Science Interests; Student Characteristics; Student Interests","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
