"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Albers L.A.; Santangelo J.; Hunter M.A.; Vaccaro J.C.; Lefurgy S.T.; Lee J.; Agarwal R.","Albers, Lynn A. (23092917500); Santangelo, Jessica (57199756556); Hunter, Margaret A. (7202148691); Vaccaro, John Carmine (22952555300); Lefurgy, Scott T. (7801634339); Lee, Jacqueline (57211902895); Agarwal, Rakhi (58747037500)","23092917500; 57199756556; 7202148691; 22952555300; 7801634339; 57211902895; 58747037500","Board 338: NSF S-STEM: A Community College and University Partnership to Support STEM Student Success; Achievements and Challenges in the First Year of Implementation","2024","ASEE Annual Conference and Exposition, Conference Proceedings","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202013558&partnerID=40&md5=0fd969248b50b5f2c5a14e9eceb6d4ca","The Nassau Community College and Hofstra University Integrated Achievement and Mentoring (iAM) Program is an NSF Scholarships in STEM (S-STEM) Track 3 (multi-institution) funded program built on the theoretical framework of legitimate peripheral participation [1] with an emphasis on inclusivity, community, and belonging [2]. The iAM Program has increased Scholar retention, academic performance, and engagement with student support services relative to peers. The program received NSF funding in 2022 to include a collaboration between Nassau Community College (NCC), a local two-year community college, and Hofstra University (HU) to create a seamless pathway for students from local high schools, through five NCC STEM majors (Biology, Computer Science, Engineering Science, Liberal Arts and Sciences, Math) to HU, culminating in a STEM BA/BS degree and entry into a STEM profession. It will accomplish these goals by augmenting the original program [3] with components to address challenges specific to NCC: a summer research experience, ALEKS for math placement support [4], joint NCC/HU advising, and an annual NCC/HU STEM faculty conference to strengthen curricular ties across institutions. The original iAM Program developed and utilized five components at the four-year institution: integrated support services, a STEM writing and metacognition seminar, dynamic hierarchical mentoring, financial support for Pell-eligible students, and a responsive program structure (Figure 1). Both NCC and HU are located in a community in which more than 93% of high school students are minoritized in the sciences and more than 65% are low income. Our objectives are to: (1) shorten the length of time to earn STEM AS and BA/BS degrees, (2) increase feelings of belonging and identity with NCC and HU, (3) increase identity and confidence as STEM students and professionals, (4) ensure consistent engagement with student support services (e.g., academic success, career counseling and placement), (5) catalyze interdisciplinary and inter-institutional pedagogical collaborations, (6) identify curricular and co-curricular factors contributing to student success and career entry, (7) institutionalize sustainable, high impact practices, and (8) adapt and develop processes for other institutions to follow. The expanded program will support 90 unique Scholars. The HU entryway recruits STEM majors who were academically strong in high school and who initially underperform at HU. The NCC/HU entryway recruits local, academically successful high school students. Our goal is to increase HU and NCC/HU Scholar retention, transfer, and graduation rates by 25% relative to peers. This work-in-progress paper focuses on NCC and the importance of recruitment, perseverance, and retention/transfer rate to HU. It details the iAM Program model and discusses the challenges and achievements of the first year of implementation of the community college cohort, summer research program, and the faculty collaborations between the institutions including the jointly hosted day-long faculty workshop. © American Society for Engineering Education, 2024.","","Artificial intelligence; Cost effectiveness; Curricula; Economic analysis; Economic and social effects; Economic geology; Emotional intelligence; Engineering research; Professional aspects; STEM (science, technology, engineering and mathematics); Students; Teaching; Colleges and universities; Community college; First year; High school students; Mentoring programs; Student success; Student supports; Support services; Transfer rates; University partnership; Engineering education","American Society for Engineering Education","English","Conference paper","Final","","Scopus","2-s2.0-85202013558"
"Yang Y.; Chen L.; He W.; Sun D.; Salas-Pilco S.Z.","Yang, Yuqin (57164390600); Chen, Linbaiyu (59275449100); He, Wenmeng (59276579500); Sun, Daner (55207430900); Salas-Pilco, Sdenka Zobeida (55675477500)","57164390600; 59275449100; 59276579500; 55207430900; 55675477500","Artificial Intelligence for Enhancing Special Education for K-12: A Decade of Trends, Themes, and Global Insights (2013–2023)","2024","International Journal of Artificial Intelligence in Education","","","","","","","5","10.1007/s40593-024-00422-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201533549&doi=10.1007%2fs40593-024-00422-0&partnerID=40&md5=e2ffa159bcf7cdcd39b80c901a8b6e3e","This paper provided a review of 210 studies on AI-enhanced special education from 2013 to 2023. Through bibliometric analysis, this review aimed to explore trends, focus areas, developments, and evolving themes of the field of AI for enhancing special education. Several noteworthy findings emerged from our analysis. The trend analysis of publications and citations revealed distinct phases, including an initial exploratory phase (2013–2016) followed by a period of rapid development (2017–2023). keyword co-occurrence networks and emergent word mapping highlight AI’s transformative potential, especially in autism spectrum disorder interventions and advancements in learning environments. Emerging trends focus on mathematics learning outcomes and educational equity, evolving through phases of understanding AI's support and integrating advanced tools like virtual reality and educational robots. Topic clustering analysis revealed categories including cognitive rehabilitation and ethical AI integration, emphasizing personalized instructional environments. Implications for research stress the need to bolster foundational skills and explore innovative teaching methods, including addressing challenges in gamified learning and integrating AI seamlessly. The review reveals a need for larger sample sizes and longitudinal studies to enhance statistical robustness and real-world relevance. In educational practices, using AI tools like apps, robots, and simulations can boost engagement and support social and academic progress. Tailored interventions for specific learning difficulties, such as dyslexia and dyscalculia, through intelligent tutoring systems, offer promise for positive learning outcomes. Policymakers are crucial in facilitating technology integration by ensuring comprehensive teacher training, increased funding for tech infrastructure, and strong leadership. Initiatives targeting underserved communities aim to promote equity and access to transformative resources. This study highlights AI’s transformative potential in special education, advocating for inclusive and personalized learning environments with ethical Al solutions to address unique challenges faced by special needs students. © International Artificial Intelligence in Education Society 2024.","Artificial intelligence (AI); Bibliometric analysis; Special education; Special needs students","Contrastive Learning; Educational robots; Federated learning; Intelligent systems; Personnel training; Students; Teaching; Virtual environments; Area development; Artificial intelligence; Bibliometrics analysis; Focus areas; Global insights; Learning outcome; Special education; Special need student; Special needs; Trend analysis; Adversarial machine learning","Springer","English","Article","Article in press","","Scopus","2-s2.0-85201533549"
"Bulut O.; Wongvorachan T.; He S.; Lee S.","Bulut, Okan (42561052700); Wongvorachan, Tarid (57887422500); He, Surina (57216464094); Lee, Soo (57195055396)","42561052700; 57887422500; 57216464094; 57195055396","Enhancing high-school dropout identification: a collaborative approach integrating human and machine insights","2024","Discover Education","3","1","109","","","","1","10.1007/s44217-024-00209-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211134281&doi=10.1007%2fs44217-024-00209-4&partnerID=40&md5=2c91f55343341091e3f15822fbaa308a","Despite its proven success in various fields such as engineering, business, and healthcare, human–machine collaboration in education remains relatively unexplored. This study aims to highlight the advantages of human–machine collaboration for improving the efficiency and accuracy of decision-making processes in educational settings. High school dropout prediction serves as a case study for examining human–machine collaboration’s efficacy. Unlike previous research prioritizing high accuracy with immutable predictors, this study seeks to bridge gaps by identifying actionable factors for dropout prediction through a framework of human–machine collaboration. Utilizing a large dataset from the High School Longitudinal Study of 2009 (HSLS:09), two machine learning models were developed to predict 9th-grade students’ high school dropout history. Results indicated that the Random Forest algorithm outperformed the deep learning algorithm. Model explainability revealed the significance of actionable variables such as students’ GPA in the 9th grade, sense of school belonging, self-efficacy in mathematics and science, and immutable variables like socioeconomic status in predicting high school dropout history. The study concludes with discussions on the practical implications of human–machine partnerships for enhancing student success. © The Author(s) 2024.","Explainable AI; High school dropout; Human–machine collaboration; Machine learning","","Discover","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85211134281"
"Christina Y.V.; Lukas S.; Yugopuspito P.; Krisnadi D.","Christina, Yovita Vera (59336273800); Lukas, Samuel (35203651100); Yugopuspito, Pujianto (24726050500); Krisnadi, Dion (55443934300)","59336273800; 35203651100; 24726050500; 55443934300","Developing Statistics Learning Materials on YouTube Media and Blogs for Improving Mathematics Problem-Solving skills and Learning Achievement","2024","ACM International Conference Proceeding Series","","","","12","17","5","0","10.1145/3670013.3670060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204423180&doi=10.1145%2f3670013.3670060&partnerID=40&md5=9ca7da1622cb1cf89da496e98b325664","This study aims to improve mathematics problem-solving skills and learning achievement of students by developing learning media on YouTube and Learning Blogs. The experiment is conducted by using two groups of learners, the Control group and the experiment group. Each of them has 19 Junior High School students. The topic is statistics material. Learning media is designed by using the ADDIE model that is uploaded to YouTube media and Teacher Learning Blogs. Two instruments are designed. First instrument is a questionnaire to capture the usefulness of learning media on YouTube and also learning media on Blogs and the second instrument is a test to measure mathematical problem-solving skills and learning achievement of students. It is proven that all instruments are valid and reliable. The teaching materials both on YouTube and blogs are useful for students. Learning by providing learning material on YouTube media and learning blogs can increase N-gain Mathematics problem-solving skills of students by above 61% and it also increases N-gain Mathematics learning achievement students above 90%. © 2024 ACM.","Blogs; Learning achievement; Normal gain; Problem solving skill; Youtube","Contrastive Learning; Federated learning; Students; Control groups; High school students; Junior high schools; Learning achievement; Learning materials; Learning media; Normal gain; Problem solving skills; Statistics learning; YouTube; Adversarial machine learning","Association for Computing Machinery","English","Conference paper","Final","","Scopus","2-s2.0-85204423180"
"Rothkrantz C.; Fitrianie S.; Rothkrantz L.","Rothkrantz, Cyril (59308409200); Fitrianie, Siska (6507941356); Rothkrantz, Leon (35618432700)","59308409200; 6507941356; 35618432700","A MOOC for exam training mathematics using intelligent tutoring","2024","ACM International Conference Proceeding Series","","","","221","226","5","0","10.1145/3674912.3674928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202743432&doi=10.1145%2f3674912.3674928&partnerID=40&md5=e128b30277a0053571aaaf1268285231","Many high school students require costly private lessons to prepare for their final exams. These lessons go beyond what regular schools can provide. As a proof of concept, a distance learning program for exam preparation has been created using Moodle. It offers study materials that incorporate gaming and real-life applications. Each lesson begins with a diagnostic test and follows a specific training program to address students' weaknesses. An AI-based intelligent tutoring system has been developed to take on the role of a teacher and assist students with their work. After the system analyzes errors, the tutor provides specific hints and guidelines to help students solve problems accurately. The developed study material was tested on a group of students preparing for their final exams in mathematics.  © 2024 Owner/Author.","Distance learning; Intelligent tutoring; Mathematics; MOOCS","Adversarial machine learning; Computer aided instruction; Contrastive Learning; Distance education; Education computing; Federated learning; Program diagnostics; Software testing; Supervised learning; Teaching; Diagnostic tests; Distance learning programs; Distance-learning; High school students; Intelligent tutoring; MOOCS; Proof of concept; Real-life applications; Study materials; Training program; Students","Association for Computing Machinery","English","Conference paper","Final","","Scopus","2-s2.0-85202743432"
"Wang D.; Shan D.; Ju R.; Kao B.; Zhang C.; Chen G.","Wang, Deliang (57204435563); Shan, Dapeng (58489693900); Ju, Ran (59449067300); Kao, Ben (35221592600); Zhang, Chenwei (57199501327); Chen, Gaowei (16229371000)","57204435563; 58489693900; 59449067300; 35221592600; 57199501327; 16229371000","Investigating dialogic interaction in K12 online one-on-one mathematics tutoring using AI and sequence mining techniques","2024","Education and Information Technologies","","","","","","","1","10.1007/s10639-024-13195-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210588843&doi=10.1007%2fs10639-024-13195-9&partnerID=40&md5=69f84bee8598d1370991020ccf5d281c","Online one-on-one tutoring serves as a supplementary approach to traditional classroom instruction. It has been shown to enhance personalized learning and academic performance. However, the dynamics of dialogic interactions within this educational setting are not fully understood. Thus, we present a computational analysis of dialogic interactions in online one-on-one mathematics tutoring. Specifically, we devised a coding scheme tailored to online tutoring sessions and leveraged advanced artificial intelligence techniques to construct an automated model for annotating dialog acts. We then investigated the basic characteristics and interaction patterns in a dataset encompassing online one-on-one tutoring dialogs within K-12 mathematics education and obtained insightful findings. First, tutors were found to often apply both didactic and other effective teaching strategies. Second, off-task chatting accounted for a significant proportion of tutoring sessions. Third, high school students exhibited greater engagement and cognitive abilities than primary and middle school students through their more active participation and superior reasoning skills. Primary school students, despite their less active participation, responded positively when engaged by tutors. The findings highlight the importance of optimizing strategies applied by tutors and students to create a more dynamic and effective learning environment and provide valuable insights into the nature of online one-on-one tutoring. © The Author(s) 2024.","Artificial intelligence; Dialogic interaction; Interaction patterns; Lag sequential analysis; Online one-on-one tutoring","","Springer","English","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85210588843"
"McIntyre M.M.; Cui G.; Hou Y.","McIntyre, Miranda M. (56400395300); Cui, Geoffrey (58531596200); Hou, Yunfei (55695533300)","56400395300; 58531596200; 55695533300","Virtual avoidance: Examining STEM students' lower interest in online courses","2025","Internet and Higher Education","65","","100995","","","","0","10.1016/j.iheduc.2025.100995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216442155&doi=10.1016%2fj.iheduc.2025.100995&partnerID=40&md5=6c41edb6d475371ede5bfecac0ca3803","Online education is growing in popularity, yet online courses in science, technology, engineering, and mathematics (STEM) experience lower student satisfaction and higher attrition compared to non-STEM courses. This study explores differences in online course perceptions between STEM and non-STEM students and how these perceptions influence their intentions to enroll in future online courses. A sample of 1245 students was recruited from a diverse range of majors, with 44 % of students majoring in STEM. Relative to non-STEM majors, STEM students felt that online classes offer lower performance outcomes, are less enjoyable, and offer less flexibility while requiring more effort. These perceptions explain 74 % of the variance in intentions to enroll in online courses. Differences among STEM sub-categories were also examined to provide a nuanced picture of students' experiences in online courses. The findings identify strategic improvements for online STEM courses by targeting learning-based performance, flexibility in course modality, and students' enjoyment. © 2024","Distance education and online learning; Distributed learning environments; Pedagogical issues; Post-secondary education","Federated learning; Virtual environments; Distance education and online learning; Distributed learning environments; Engineering and mathematics; Engineering course; Online course; Online learning; Pedagogical issues; Postsecondary education; Science course; Science technologies; Adversarial machine learning","Elsevier Ltd","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85216442155"
"Gao G.; Leon A.; Jetten A.; Turner J.; Almoubayyed H.; Fancsali S.; Brunskill E.","Gao, Ge (57217143020); Leon, Amelia (57225324631); Jetten, Andrea (57219979186); Turner, Jasmine (59510274200); Almoubayyed, Husni (57194795777); Fancsali, Stephen (54929502400); Brunskill, Emma (15762040900)","57217143020; 57225324631; 57219979186; 59510274200; 57194795777; 54929502400; 15762040900","Predicting Long-Term Student Outcomes from Short-Term EdTech Log Data","2025","15th  International Conference on Learning Analytics and Knowledge, LAK 2025","","","","631","641","10","0","10.1145/3706468.3706552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000456409&doi=10.1145%2f3706468.3706552&partnerID=40&md5=3667db8023fff40d4957e8f6d2c68e58","Educational stakeholders are often particularly interested in sparse, delayed student outcomes, like end-of-year statewide exams. The rare occurrence of such assessments makes it harder to identify students likely to fail such assessments, as well as making it slow for researchers and educators to be able to assess the effectiveness of particular educational tools. Prior work has primarily focused on using logs from students full usage (e.g. year-long) of an educational product to predict outcomes, or considered predictive accuracy using a few minutes to predict outcomes after a short (e.g. 1 hour) session. In contrast, we investigate machine learning predictors using students' logs during their first few hours of usage can provide useful predictive insight into those students' end-of-school year external assessment. We do this on three diverse datasets: from students in Uganda using a literacy game product, and from students in the US using two mathematics intelligent tutoring systems. We consider various measures of the accuracy of the resulting predictors, including its ability to identify students at different parts along the assessment performance distribution. Our findings suggest that short-term log usage data, from 2-5 hours, can be used to provide valuable signal about students' long term external performance. © 2025 Copyright held by the owner/author(s).","Data mining across educational contexts; K-12 education; Long-term student outcomes prediction; Quantitative analysis; Short-horizon data","Students; Data mining across educational context; Educational context; Educational tools; K-12 education; Log data; Long-term student outcome prediction; Outcome prediction; Predictive accuracy; Short-horizon data; Student outcomes; Contrastive Learning","Association for Computing Machinery, Inc","English","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105000456409"
"Morgado L.; Quadros-Flores P.; Eanes G.; Pinto A.; Fernandes D.","Morgado, Liliana (59464137100); Quadros-Flores, Paula (57836104700); Eanes, Geraldo (59464137200); Pinto, Alexandre (57193549625); Fernandes, Dárida (57361646600)","59464137100; 57836104700; 59464137200; 57193549625; 57361646600","Impact of Remote Teaching on Primary School Students","2025","Lecture Notes in Networks and Systems","858 LNNS","","","355","365","10","0","10.1007/978-3-031-74751-9_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211376639&doi=10.1007%2f978-3-031-74751-9_33&partnerID=40&md5=d0e35e261fd6fe81459d8538060c53be","During the pandemic period, emergency remote teaching took prominence in the teaching and learning process. This article, integrated in the Supervised Educational Practice of the Master's Degree in Teaching in Primary School and Mathematics and Natural Sciences in Secondary School, aims to show the perception of students, parents and the class teacher on how the students learned during the pandemic period. We aimed to understand the potential of the methodological approach Made by them to them: The Students in the Learning Process used in the construction of knowledge and the promotion of meaningful learning. This is a case study about an educational practice carried out by the trainee teacher who knows the reality of the learning process. Thus conducted action research to enhance educational practice using teacher notes, a class teacher interview, and surveys of parents and 20 fourth-grade students in Porto. The findings show that emergency remote teaching drove methodological changes in the learning process. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","digital literacy; Emergency remote learning; pedagogical renewal","Adversarial machine learning; Federated learning; Self-supervised learning; Students; Digital literacies; Emergency remote learning; Learning process; Pedagogical renewal; Primary schools; Remote learning; Remote teaching; School students; Teachers'; Teaching and learning; Contrastive Learning","Springer Science and Business Media Deutschland GmbH","English","Conference paper","Final","","Scopus","2-s2.0-85211376639"
"Tabakova-Komsalova V.; Stoyanov I.; Cholakov G.; Maglizhanova M.","Tabakova-Komsalova, Veneta (57197831904); Stoyanov, Ivan (57219436593); Cholakov, George (57221763884); Maglizhanova, Magdalena (59456137600)","57197831904; 57219436593; 57221763884; 59456137600","Introducing Artificial Intelligence to Secondary Schools Through STEM Learning and the Logic Programming Language Prolog","2024","TEM Journal","13","4","","3221","3230","9","1","10.18421/TEM134-56","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210902993&doi=10.18421%2fTEM134-56&partnerID=40&md5=417265b08e9a87f9d55badd824bd22b9","This article proposes a project aimed at introducing secondary school students to artificial intelligence and logic programming using the Prolog language. In commemoration of the 50th anniversary of Prolog’s development, the authors participate in the international initiative “Prolog Education and Thinking” through the “Digital Bulgaria in Prolog” activity, implemented in Bulgarian secondary schools. The article offers a concise overview of a STEM (Science, Technology, Engineering, and Mathematics) educational program and training for secondary school students in Bulgaria. STEM serves as a project-based learning approach, fostering students’ understanding of multiple disciplines and utilizing diverse technologies to enhance their skills. Additionally, the article showcases examples of student initiatives spanning natural sciences, informatics, humanities, culture, and art, illustrating the interdisciplinary nature of STEM education. © 2024 Veneta Tabakova-Komsalova, Ivan Stoyanov, George Cholakov & Magdalena Maglizhanova; published by UIKTEN. This work is licensed under the Creative Commons Attribution-NonCommercial-NoDerivs 4.0 License.","Artificial intelligence; education; logic programming; modelling and processing of knowledge; STEM","","UIKTEN - Association for Information Communication Technology Education and Science","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210902993"
"Ramli M.; Fatra M.; Murtadlo M.; Albana H.; Susanti B.H.; Aldeia S.","Ramli, Munasprianto (57219423790); Fatra, Maifalinda (57194534630); Murtadlo, Muhamad (57216226020); Albana, Hasan (58634191600); Susanti, Baiq Hana (57223615874); Aldeia, Saifullah (59385766200)","57219423790; 57194534630; 57216226020; 58634191600; 57223615874; 59385766200","Navigating the tech-savvy generation; key considerations in developing of an artificial intelligence curriculum","2024","IAES International Journal of Artificial Intelligence","13","4","","3942","3950","8","0","10.11591/ijai.v13.i4.pp3942-3950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207498469&doi=10.11591%2fijai.v13.i4.pp3942-3950&partnerID=40&md5=f843c903b5d5e380cde19720a25684c1","The progress in artificial intelligence (AI) technology has greatly changed various facets of society. This study aimed to explore aspects that need to be considered in developing AI curriculum for senior high schools in Indonesia. The qualitative approach employed in this study. The researchers utilized focus group discussions with schools’ management and students at seven cities and group interviews with students at three cities. The results show that some schools want AI as an extracurricular activity, while others want it as a mandatory subject. School management and teachers aim for 2-3 competent AI instructors in each school. If no teachers are available, training will be provided to ICT, mathematics, or physics teachers for about a year to become AI educators. All participants agree on the importance of teaching students about AI applications and discussing ethical issues related to AI. © 2024, Institute of Advanced Engineering and Science. All rights reserved.","Applications; Artificial intelligence; Competencies; Curriculum development; Ethics","","Institute of Advanced Engineering and Science","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207498469"
"Ballestar M.T.; Mir M.C.; Pedrera L.M.D.; Sainz J.","Ballestar, María Teresa (57024150400); Mir, Miguel Cuerdo (57191956246); Pedrera, Luis Miguel Doncel (14122963200); Sainz, Jorge (24336067500)","57024150400; 57191956246; 14122963200; 24336067500","Effectiveness of tutoring at school: A machine learning evaluation","2024","Technological Forecasting and Social Change","199","","123043","","","","1","10.1016/j.techfore.2023.123043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178346572&doi=10.1016%2fj.techfore.2023.123043&partnerID=40&md5=cf855fa8b9d87d804828ebb9893b3df6","Tutoring programs are effective in reducing school failures among at-risk students. However, there is still room for improvement in maximising the social returns they provide on investments. Many factors and components can affect student engagement in a program and academic success. This complexity presents a challenge for Public Administrations to use their budgets as efficiently as possible. Our research focuses on providing public administration with advanced decision-making tools. First, we analyse a database with information on 2066 students of the Programa para la Mejora de Éxito Educativo (Programme for the Improvement of Academic Success) of the Junta de Comunidades de Castilla y Léon in Spain, in 2018–2019, the academic year previous to the pandemic. This program is designed to help schools with students at risk of failure in Spanish, literature, mathematics, and English. We developed a machine learning model (ML) based on Kohonen self-organising maps (SOMs), which are a type of unsupervised (ANN), to group students based on their characteristics, the type of tutoring program in which they were enrolled, and their results in both the completion of the program and the 4th year of Compulsory Secondary Education (ESO). Second, we evaluated the results of tutoring programs and identified and explained how different factors and components affect student engagement and academic success. Our findings provide Public Administrations with better decision-making tools to evaluate and measure the results of tutoring programs in terms of social return on investment, improve the design of these programs, and choose the students to enrol. © 2023 The Author(s)","Artificial neural networks; Machine learning; Public policy analysis; Tutoring program","Budget control; Decision making; Learning systems; Public administration; Students; Decision making tool; Learning evaluations; Machine learning models; Machine-learning; Policy analysis; Public policy analyse; Research focus; Risk of failure; Student engagement; Tutoring program; computer simulation; machine learning; numerical model; policy analysis; technological change; technological development; Machine learning","Elsevier Inc.","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85178346572"
"Li S.; Jiao X.; Cai S.; Shen Y.","Li, Shuhui (57652322700); Jiao, Xinyue (57210586261); Cai, Su (15843272000); Shen, Yihua (57194165301)","57652322700; 57210586261; 15843272000; 57194165301","Enhancing AR-based learning environments for STEM education: A design-based study on design features, kinematics learning and mathematics self-efficacy","2024","British Journal of Educational Technology","","","","","","","2","10.1111/bjet.13528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206807114&doi=10.1111%2fbjet.13528&partnerID=40&md5=64396f081a2b5b411594e1937ffb746d","This design-based research project explored how various design features of AR-based learning environments (ARLE) influence students' mathematics self-efficacy and learning of kinematics. Specifically, five ARLEs with different design features were developed and implemented with 136 seventh-grade students in two rounds. Data were gathered from pre- and post-mathematics self-efficacy tests, interviews, classroom observation records and reflective journals, to identify which design features promote or hinder students' learning and self-efficacy. Results revealed that adopting a well-designed ARLE is a viable way to promote students' learning and mathematics self-efficacy, and the success of ARLE lies in (1) coherent tasks with proper time for self-exploration, progressive levels, useful problem contexts and a certain degree of open-endedness, and (2) sufficient technological affordances with strengthened authenticity, clarity and integrated media presentation, as well as engaging interactions with decent flexibility, embodied actions and feedback. These results validated the applicability of the proposed checklist for ARLE designers and practitioners in their design and implementation of ARLEs, within the domain of mathematics, physics and beyond. Practitioner notes What is already known about this topic AR-based learning environments (ARLEs) have demonstrated substantial advantages in STEM education, but ARLEs can be a drawback if they are not adequately designed. ARLE may facilitate students' mathematics self-efficacy, and relevant design features are underexplored. Design-based research sustains interventions combining empirical research and theory-driven design of innovative learning environments, for example, ARLEs. What this paper adds Demonstrates the potential of ARLEs that can be used in classrooms to support STEM learning. Identifies a collection of effective and ineffective design features of ARLEs that promote or hinder students' STEM learning and mathematics self-efficacy. Tackles the challenges for the design of ARLEs for classrooms by taking AR technological affordances and the pedagogical perspective together. Implications for practice and/or policy Five ARLEs for STEM topics were developed and implemented in secondary schools. Evidence of positive impacts of ARLEs on students' learning and mathematics self-efficacy. Our research produces useful guidelines for designers and practitioners in their development and implementation of ARLEs in real classrooms. © 2024 British Educational Research Association. Published by John Wiley & Sons Ltd.","augmented reality; design feature; design-based research; self-efficacy; STEM","Adversarial machine learning; Augmented reality; Contrastive Learning; STEM (science, technology, engineering and mathematics); Students; Teaching; Affordances; Design features; Design-based research; Environment influence; Kinematic learning; Learning environments; Self efficacy; STEM; STEM education; Student learning; Kinematics","John Wiley and Sons Inc","English","Article","Article in press","All Open Access; Bronze Open Access","Scopus","2-s2.0-85206807114"
"Zhu W.; Xing W.; Lyu B.; Li C.; Zhang F.; Li H.","Zhu, Wangda (57210914941); Xing, Wanli (55983407600); Lyu, Bailing (57223936441); Li, Chenglu (57208421439); Zhang, Fan (58126481100); Li, Hai (58934319000)","57210914941; 55983407600; 57223936441; 57208421439; 58126481100; 58934319000","Bridging the Gender Gap: The Role of AI-Powered Math Story Creation in Learning Outcomes","2025","15th  International Conference on Learning Analytics and Knowledge, LAK 2025","","","","918","923","5","0","10.1145/3706468.3706539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000247910&doi=10.1145%2f3706468.3706539&partnerID=40&md5=615cc488ea2827eafa581793a3b785b5","Addressing the gender gap in K-12 math education is essential for providing equitable learning opportunities, as historical disparities in engagement, performance, and confidence between male and female students in mathematics are often linked to educational biases. Integrating Generative AI (GAI) into math education shows promise for bridging the gender gap in K12 math learning. This study proposes an innovative pedagogy and platform that enables students to create math stories powered by GAI, enhancing their conceptual understanding of key mathematical ideas. The platform was implemented in two K5 schools to evaluate its effectiveness and mechanism (N = 86). Pre- and post-intervention surveys and usage logs indicated significant improvements in students' learning outcomes regarding Math Question (MQ) skills and Math Story (MS) skills. Bayes SEM further modeled the mechanism: students' creating math stories powered by GAI significantly improves MS, which further improves MQ. We further found female students were significantly more engaged in creating stories on this platform and gained more improvement on MQ than male students. The results suggest that AI-powered math story creation can be an effective tool for deepening students' mathematical learning outcomes and has the potential to mitigate the gender gap. © 2025 Copyright held by the owner/author(s).","Gender gap; Generative AI; Learning outcomes; Math story","Adversarial machine learning; Federated learning; Conceptual understanding; Female students; Gender gap; Generative AI; Learning opportunity; Learning outcome; Math story; Performance; Post interventions; Student learning outcomes; Contrastive Learning","Association for Computing Machinery, Inc","English","Conference paper","Final","","Scopus","2-s2.0-105000247910"
