"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Online Academic Performance during the COVID-19: Evidence from a Rural High School in Western China","L. Zeng; H. Luo","Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China",2021 Tenth International Conference of Educational Innovation through Technology (EITT),"2 Feb 2022","2021","","","112","116","Due to the COVID-19 pandemic, all schools in China shifted to online learning in the spring of 2020. For many schools located in the rural areas of western China, however, it was their first attempt at online learning, and the critical question regarding the effectiveness of online learning on academic performance remains to be answered. In this study, we tracked 125 Grade 10 students in a rural high school in western China, and we compared their academic performance before and after the online learning practice. In addition, four hierarchical regression models were computed to explore the influencing factors of post-pandemic academic performance in different subjects. The results indicated that online learning did not increase students' academic performance in the rural high school and significant drop of performance was seen in mathematics and English. Students' demographic features had little influence on the change of academic performance, as prior academic performance remained the most important predictor of the post-pandemic academic performance.","2166-0549","978-1-6654-2757-9","10.1109/EITT53287.2021.00030","Central China Normal University(grant numbers:CCNUSETT20200l); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9694018","online learning;academic performance;rural high school;hierarchical regression;COVID-19","COVID-19;Technological innovation;Pandemics;Computational modeling;Mathematical models;Springs","","1","","16","IEEE","2 Feb 2022","","","IEEE","IEEE Conferences"
"Application of Machine Learning Methods to Assessment of Applicants","A. A. Timofeev","Saint Petersburg Electrotechnical University ""LETI"", Saint Petersburg, Russia",2022 XXV International Conference on Soft Computing and Measurements (SCM),"14 Jun 2022","2022","","","119","121","The report considers the application of machine learning methods for solving the problem of assessing applicants. The creation of a model for predicting the success of an applicant's education at a university is described. The results of experiments with various machine learning algorithms and data preprocessing are presented. The developed model was evaluated based on the data of the latest session.","","978-1-6654-9669-8","10.1109/SCM55405.2022.9794849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9794849","machine learning;enrollee;session;decision trees","Training;Analytical models;Machine learning algorithms;Correlation;Data preprocessing;Predictive models;Boosting","","","","6","IEEE","14 Jun 2022","","","IEEE","IEEE Conferences"
"Predicting the Performance of Mathematics’ Students through Data Mining Techniques for Enhanced Education Systems","J. Maurício; G. Marques","Polytechnic of Coimbra, ESTGOH, Rua General Santos, Portugal; Polytechnic of Coimbra, ESTGOH, Rua General Santos, Portugal",2021 1st Conference on Online Teaching for Mobile Education (OT4ME),"14 Dec 2021","2021","","","146","152","In this study, we use data mining techniques to predict the performance of students in mathematics. The failure rate in secondary education within the discipline of mathematics is significant. Therefore, predicting the performance of students is relevant to support the decision plan on interventions. A dataset with 395 records collected from two secondary schools in Portugal was used in this work. The authors tested eight machine learning algorithms such as Stochastic Gradient Descent, AdaBoost, Support Vector Machine, Naïve Bayes (NB), K-Nearest Neighbors algorithm, Decision Tree, and Logistic Regression. Consequently, this work supports future research activities to use NB to predict students’ performance. Moreover, this work has ranked the impact of the variables which most disturb students from achieving success. The results recommend the NB algorithm using the top five important features which report 75.22%, 74.41%, 75.22%, and 73,29% of accuracy, precision, recall, and F1-Score, respectively. By predicting students’ performance is possible to plan interventions on time and, consequently, increase the final discipline score.","","978-1-6654-2814-9","10.1109/OT4ME53559.2021.9638819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9638819","Education;Machine Learning;Mathematics;Naïve Bayes;Students Performance","Support vector machines;Machine learning algorithms;Distance learning;Education;Machine learning;Prediction algorithms;Mathematics","","2","","25","IEEE","14 Dec 2021","","","IEEE","IEEE Conferences"
"Classification of Classroom Teachers’ Speech Intention Based on Deep Learning","X. Zhang; J. Wang; Z. Wan; Z. Luo","College of Artificial Intelligence, Beijing Normal University, Beijing, China; Beijing Qingfan Technology Co., Beijing, China; College of Artificial Intelligence, Beijing Normal University, Beijing, China; College of Artificial Intelligence, Beijing Normal University, Beijing, China",2021 International Conference on Computer Engineering and Application (ICCEA),"28 Oct 2021","2021","","","230","233","Teachers use language to guide classroom teaching activities. The automatic classification of teacher speech according to intention is helpful for the quantitative analysis and evaluation of classroom teaching process. Teachers’ speech in real classroom teaching of middle school Chinese and mathematics is used to construct a corpus, and deep convolutional neural network (CNN) is trained to classify teachers’ speech and identify three kinds of teacher-led teaching activities, including teaching, questioning and classroom management. The experimental data show that:(1) compared with the classical shallow network classification algorithm SVM, the classification accuracy of CNN is increased by 10% to 95.5%, which can meet the requirements for accuracy of automatic analysis of classroom teaching process; (2) Classifying and statistical analysis of classroom teaching behaviors by using CNN classification algorithm can provide useful ideas for classroom analysis and research.","","978-1-6654-2616-9","10.1109/ICCEA53728.2021.00053","National Natural Science Foundation of China; Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9581144","teaching behaviors;text classification;teacher Discourse;CNN","Support vector machines;Statistical analysis;Education;Text categorization;Software algorithms;Software;Mathematics","","1","","9","IEEE","28 Oct 2021","","","IEEE","IEEE Conferences"
"Empowering Future Teachers: Unveiling Their Attitudes and Knowledge about AI in Slovenian K-12 Education","A. Lipovec; A. Flogie","Department of Elementary Education, Department for Mathematics and Computer Science, Faculty of Education, Faculty of Natural Sciences and Mathematics, University of Maribor, Maribor, Slovenia; Department of Technical Education, Faculty of Natural Sciences and Mathematics, University of Maribor, Maribor, Slovenia",2023 12th Mediterranean Conference on Embedded Computing (MECO),"26 Jun 2023","2023","","","1","4","This study examines AI integration in K-12 education from the perspective of future teachers (N = 266). The results indicate that participants' attitudes towards AI are less favourable compared to the general population. The findings provide valuable insights into the need for incorporating AI-related topics in teacher training in novel ways.","2637-9511","979-8-3503-2291-0","10.1109/MECO58584.2023.10155010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10155010","Artificial intelligence;literacy;education;technology-related competences","Training;Ethics;Embedded computing;Sociology;Transforms;Learning (artificial intelligence);Artificial intelligence","","3","","17","IEEE","26 Jun 2023","","","IEEE","IEEE Conferences"
"Teaching Quantum Computing to High-School-Aged Youth: A Hands-On Approach","P. P. Angara; U. Stege; A. MacLean; H. A. Müller; T. Markham","University of Victoria, Victoria, BC, Canada; University of Victoria, Victoria, BC, Canada; University of Victoria, Victoria, BC, Canada; University of Victoria, Victoria, BC, Canada; Quantinuum Ltd., Minneapolis, MN, USA",IEEE Transactions on Quantum Engineering,"5 Jan 2022","2022","3","","1","15","Quantum computing is aninterdisciplinary field that lies at the intersection of mathematics, quantum physics, and computer science, and finds applications in areas including optimization, machine learning, and simulation of chemical, physical, and biological systems. It has the potential to help solve problems that so far have no satisfying method solving them, and to provide significant speedup to solutions when compared with their best classical approaches. In turn, quantum computing may allow us to solve problems for inputs that so far are deemed practically intractable. With the computational power of quantum computers and the proliferation of quantum development kits, quantum computing is anticipated to become mainstream, and the demand for a skilled workforce in quantum computing is expected to increase significantly. Therefore, quantum computing education is ramping up. This article describes our experiences in designing and delivering quantum computing workshops for youth (Grades 9–12). We introduce students to the world of quantum computing in innovative ways, such as newly designed unplugged activities for teaching basic quantum computing concepts. We also take a programmatic approach and introduce students to the IBM Quantum Experience using Qiskit and Jupyter notebooks. Our contributions are as follows. First, we present creative ways to teach quantum computing to youth with little or no experience in science, technology, engineering, and mathematics areas; second, we discuss diversity and highlight various pathways into quantum computing from quantum software to quantum hardware; and third, we discuss the design and delivery of online and in-person motivational, introductory, and advanced workshops for youth.","2689-1808","","10.1109/TQE.2021.3127503","U.S. Department of Commerce(grant numbers:BS123456); Natural Sciences and Engineering Research Council of Canada; IBM Canada Ltd.; IBM Center for Advanced Studies; University of Victoria; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613752","Computer science (CS) unplugged (CS Unplugged);education;entanglement;high-school-aged youth;measurement;qiskit;quantum computing;quantum computing games;quantum gates;quantum teleportation;qubit systems;superposition;teachers;training;workforce development","Quantum computing;Quantum mechanics;Conferences;Qubit;Programming profession;Industries;Software","","16","","86","CCBY","12 Nov 2021","","","IEEE","IEEE Journals"
"The Use of Artificial Intelligence Techniques in Smart Classrooms is in Its Infancy","E. Figueroa; E. Batista; R. Palau; O. Unciti; M. Ferre; A. Martínez-Ballesté","Department of Computer Engineering and Mathematics, Universitat Rovira i Virgili, Tarragona, Spain; Department of Computer Engineering and Mathematics, Universitat Rovira i Virgili, Tarragona, Spain; Department of Pedagogy, Universitat Rovira i Virgili, Tarragona, Spain; Department of Pedagogy, Universitat Rovira i Virgili, Tarragona, Spain; Department of Computer Engineering and Mathematics, Universitat Rovira i Virgili, Tarragona, Spain; Department of Computer Engineering and Mathematics, Universitat Rovira i Virgili, Tarragona, Spain",IEEE Access,"17 Sep 2024","2024","12","","125179","125193","Smart classrooms are physical learning spaces that, using data from the environment, students and teachers, are able to provide timely and valuable information to improve teaching and learning processes and foster decision-making. In this article, we provide an overview of how artificial intelligence techniques are being used to gain insights into the teaching and learning processes by analyzing data not only from the classroom context, but also from students and teachers. We identify the latest literature addressing the use of artificial intelligence techniques with data obtained from the smart classroom, present a taxonomy for the areas of application, review the state of deployment in schools, and discuss the current limitations. From the results, we conclude that the use of artificial intelligence techniques to analyze classroom data in real settings (i.e., primary and secondary schools) is still far from common. Most proposals are in the lower range of technological readiness levels and do not consider issues such as information security and privacy. Furthermore, most proposals focus on the development of technological products and do not address their impact on learning. Our paper concludes with an outlook on future work in this area with the aim of making the smart classroom a cornerstone for the future of education.","2169-3536","","10.1109/ACCESS.2024.3454372","Ministerio de Ciencia, Innovación y Universidades, Gobierno de España (Agencia Estatal de Investigación, Fondo Europeo de Desarrollo Regional—FEDER-European Union)(grant numbers:PID2021-127409OB-C33 CONDOR); Agència de Gestió d’Ajuts Universitaris i de Recerca (AGAUR) Research Group ”ASCLEPIUS: Smart Technology for Smart Healthcare”(grant numbers:2021SGR-00111); Banco Santander through the Martí Franquès(grant numbers:2021PMF-BS-6); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10664555","Educational technology;artificial intelligence;smart classroom","Artificial intelligence;Convolutional neural networks;Education;Reviews;Emotion recognition;Proposals;Databases;Educational technology","","1","","64","CCBYNCND","4 Sep 2024","","","IEEE","IEEE Journals"
"Supporting Mathematical Education with Interactive Visual Proofs","M. Weckbecker; S. Neziri; G. Hattab","Center for Artificial Intelligence in Public Health Research (ZKI-PH), Robert Koch-Institute, Berlin, Germany; Center for Artificial Intelligence in Public Health Research (ZKI-PH), Robert Koch-Institute, Berlin, Germany; Department of Mathematics and Computer Science, Freie Universität, Berlin, Germany",2023 IEEE Workshop on Visualization for Social Good (VIS4Good),"11 Dec 2023","2023","","","21","25","While visual proofs are already a valuable tool for conveying the logical ideas behind mathematical proofs, their potential for ex-plaining and engaging can be enhanced by the addition of interact-ive elements. We present an open platform for interactive visual proofs that is freely available for students and teachers alike at https://visualproofs.github.io/, and which can be expan-ded by the community. Our platform has the potential to support mathematical education by providing students with a more interact-ive and engaging way to learn mathematical concepts and to show them directly the importance of proofs in mathematics. We aim to support equity in mathematical education by making our platform free, participatory and open to multiple languages. We encourage the community to contribute to its development and expansions through the GitHub repository available under CC BY NC 4.0 International License as well as through conducting future research on the effects of interactive visual proofs in education.","","979-8-3503-0716-0","10.1109/VIS4Good60218.2023.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10339935","Information systems—World Wide Web—Web applications—Crowdsourcing;Human-Centered Computing—Interaction design—Interaction design process and methods","Visualization;Design methodology;Conferences;Education;Licenses;Mathematics;Software development management","","","","22","IEEE","11 Dec 2023","","","IEEE","IEEE Conferences"
"Charting the Path Forward: Effective Didactic Approach for Teaching AI Literacy in K-12 Education","A. Lipovec","Department of Elementary Education, Department for Mathematics and Computer Science, University of Maribor, Faculty of Education, Faculty of Natural Sciences and Mathematics, Maribor, Slovenia",2024 13th Mediterranean Conference on Embedded Computing (MECO),"3 Jul 2024","2024","","","1","4","This study assesses an innovative AI literacy intervention program for teachers that incorporates social-emotional learning (SEL) into its teaching approach. Executed through three distinct strands—ABOUT, WITH, and FOR—the program aims to enhance foundational knowledge of AI, practical applications in the classroom, and ethical considerations in education. Longitudinal data collected from 54 Slovenian future K-12 teachers indicate marked improvements in both AI and SEL competencies. A hierarchical cluster analysis revealed distinct teacher profiles, illustrating a notable shift from skepticism to advocacy in the application of AI and SEL throughout the duration of the program. Notably, findings demonstrate that the program’s impact doubles the effect size benchmark established by Hattie’s hinge point, underscoring the significant and transformative influence of the program. Further research is needed to assess the long-term impact of such programs aiming at genAI in broader educational contexts.","2637-9511","979-8-3503-8756-8","10.1109/MECO62516.2024.10577894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10577894","artificial intelligence;literacy;education;social-emotional learning","Training;Ethics;Embedded computing;Generative AI;Learning (artificial intelligence);Fasteners;Benchmark testing","","","","20","IEEE","3 Jul 2024","","","IEEE","IEEE Conferences"
"A Machine Learning and Explainable AI Approach for Predicting Secondary School Student Performance","K. M. Hasib; F. Rahman; R. Hasnat; M. G. R. Alam","Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh",2022 IEEE 12th Annual Computing and Communication Workshop and Conference (CCWC),"4 Mar 2022","2022","","","0399","0405","An essential component of the educational activity is rigorous examination and assessment of students' results, with a potential substantial influence on student growth. This paper offers a predictional model for student's success in secondary education using five classification algorithms: Logistic Regression, K-Nearest Neighbors (KNN), Support Vector Machine (SVM), XGBoost, and Naive Bayes, where the data is gathered from two Portuguese school reports and surveys. The two core disciplines (Mathematics subject and Portuguese language) of the dataset were modeled around binary/five-level classification tasks which is imbalanced. The imbalanced dataset is also balanced by using K-Means SMOTE (Synthetic Minority Oversampling Technique) before classification. The test results reveal that obtaining the most outstanding accuracy value is 96.89% of Support Vector Machine (SVM) is superior to Logistic Regression, KNN, XG-Boost, and Naive Bayes. Therefore, it is essential to consider whether a model makes a particular prediction. Thus, we then train an interpretable LIME (Local Interpretable Model-agnostic Explanations) model for all the classifiers and the construction of explainable models can have a major advantage: the model can be confident, the transparency of the model helps to understand the underlying processes for working.","","978-1-6654-8303-2","10.1109/CCWC54503.2022.9720806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9720806","prediction;students performance;classification;machine learning;interpretable explanation;LIME","Support vector machines;Machine learning algorithms;Sensitivity;Conferences;Predictive models;Prediction algorithms;Mathematical models","","35","","26","IEEE","4 Mar 2022","","","IEEE","IEEE Conferences"
"Using Machine Learning Techniques and Matric Grades to Predict the Success of First Year University Students","N. Philippou; R. Ajoodha; A. Jadhav","School of Computer Science and Applied Mathematics, The University of the Witwatersrand, Johannesburg, South Africa; School of Computer Science and Applied Mathematics, The University of the Witwatersrand, Johannesburg, South Africa; Faculty of Science, The University of the Witwatersrand, Johannesburg, South Africa",2020 2nd International Multidisciplinary Information Technology and Engineering Conference (IMITEC),"1 Feb 2021","2020","","","1","5","Student enrolment and biographical data are rich sources of information that could help universities and staff tackle a diverse range of problems, such as identifying at risk students, student intake limitations, and course content adjustments. South Africa faces a unique economic and political history which creates new sets of challenges in the determination of which students are at risk of failing their degrees. This paper investigates which attributes of a student best predict whether they will graduate so as to identify vulnerable students and offer them crucial assistance. Different machine learning algorithms are applied to the data and the results are compared. The data was synthetically generated using a Bayesian network with features such as the major a student chooses, their school quintile, high school grades as well as NBT scores. Bagging produced the best results, correctly classifying 75.97% of the data.","","978-1-7281-9520-9","10.1109/IMITEC50163.2020.9334087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9334087","education;learning analytics;grades prediction;machine learning","Biological system modeling;Predictive models;Reliability engineering;Mathematical model;Random forests;Bagging;Testing","","5","","20","IEEE","1 Feb 2021","","","IEEE","IEEE Conferences"
"Learning Experience Platforms in German and Lithuanian K12 Schools: Case Study Analysis","J. Melnikova; A. Batuchina; J. Zascerinska; A. Ahrens","Klaipeda University, Klaipeda, Lithuania; Klaipeda University, Klaipeda, Lithuania; Hochschule Wismar, Wismar, Germany; Hochschule Wismar, Wismar, Germany",2023 International Interdisciplinary PhD Workshop (IIPhDW),"17 May 2023","2023","","","1","6","The article is focused on the micro level of education (i.e. the teaching / learning process) and the digital learning platforms used in it. The platforms that provide the learning content and are equipped with analytical tools and are able to provide guidance to the participants in the educational process by means of artificial intelligence are referred to as Learning Experience Platforms within the framework of the research. In the educational practice of two countries learning experience platforms Bettermarks and Eduten Playground have been chosen for case study analysis. Data collection methods: analysis of open sources and interviews with users (teachers). These platforms allow learners to personalize what they are learning, how they are learning and when / where they choose to learn. Through such platforms, participants in the learning process can identify specific skills or knowledge gaps by accessing an analysis of their teaching-learning activities and use suggestions for action to improve their achievement. The article presents the empiric information on the benefits of these platforms in the teaching/learning practice as well challenges for their effective use. Research findings have pedagogical value for designing of engineering education.","","978-1-6654-1084-7","10.1109/IIPhDW54739.2023.10124407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10124407","education digitalization;learning experience platforms;case study in K12 schools in Germany and Lithuania","Conferences;Learning (artificial intelligence);Data collection;Interviews;Engineering education","","1","","10","IEEE","17 May 2023","","","IEEE","IEEE Conferences"
"Problems and Challenges in Education in ICT at the Poznan University of Technology","K. Wesolowski","Faculty of Computing and Telecommunications, Poznan University of Technology, Poznan, Poland",2020 V International Conference on Information Technologies in Engineering Education ( Inforino ),"9 Jun 2020","2020","","","1","4","In this paper, we describe the current status of university education in the area of electronics and telecommunications, teleinformatics, computer science and artificial intelligence at the Poznan University of Technology. We describe the method of admission for the above fields of studies, and problems faced by freshmen resulting from the education curricula in high schools in Poland, in particular in mathematics and informatics. Next, we shortly describe most of the fields of studies offered at PUT in Information and Communication Technologies (ICT). We also present a description of the newly introduced field of studies, namely, ""Artificial Intelligence"". We also show how the job offers influence candidates for Ph.D. studies, and present the prospects of scientific careers. It is a problem of relations with industry, which on one hand have a form of cooperation, but on the other, create serious competition for the development of university scientific staff in ICT.","","978-1-7281-4810-6","10.1109/Inforino48376.2020.9111847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9111847","Computer engineering;electronics;telecommunications;artificial intelligence;academic education","Industries;Computer science;Engineering profession;Mathematics;Telecommunications;Information and communication technology;Remuneration","","1","","11","IEEE","9 Jun 2020","","","IEEE","IEEE Conferences"
"Primary and High School Question Classification based on Bloom's Taxonomy","Hasmawati; A. Romadhony; R. Abdurohman","School of Computing Telkom University, Bandung, Indonesia; School of Computing Telkom University, Bandung, Indonesia; School of Computing Telkom University, Bandung, Indonesia",2022 10th International Conference on Information and Communication Technology (ICoICT),"21 Oct 2022","2022","","","234","239","One of the student's abilities that must be measured in the learning process is cognitive ability. This measurement is essential to establish the level of students' understanding of the material that has been taught. Giving questions with the appropriate difficulty level is an attempt to measure these cognitive abilities. According to Bloom's taxonomy, there are six levels of cognitive abilities, remembering, understanding, applying, analyzing, evaluating, and creating. An automatic question classifier is helpful for teachers to develop a high-quality question and comply with different cognitive levels. This paper proposed automation question classification using the classical classification method (Support Vector Machine and Multinomial Naïve Bayes) and the pre-trained language model, IndoBERT. We conducted an experiment based on 670 mathematics and Indonesian language questions in primary and high school. The evaluation results show that the best classification accuracy was achieved by the IndoBERT method, which is 82% for classifying mathematics questions and 63% for classifying Indonesian Language questions. We analyzed that the small number of datasets and unbalanced at each taxonomy level affected the classification results.","","978-1-6654-8165-6","10.1109/ICoICT55009.2022.9914842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914842","Bloom's Taxonomy;Cognitive Abilities;Support Vector Machine;Multinomial Naïve Bayes;IndoBERT","Automation;Taxonomy;Support vector machine classification;Mathematical models;Information and communication technology","","2","","15","IEEE","21 Oct 2022","","","IEEE","IEEE Conferences"
"Diagnosing Mathematical Procedures in Number and Algebra Strand of 7th Students using the Machine Learning Platform for Khon Kaen University demonstration secondary school (Suksasart)","M. Prasertsang; M. Marwiang; P. Junpeng","Faculty of Education, Demonstration School of Khan Kaen University, Khan Kaen University, Khan Kaen, Thailand; Faculty of Education, Khon Kaen University, Khon Kaen, Thailand; Faculty of Education, Khon Kaen University, Khon Kaen, Thailand","2024 International Technical Conference on Circuits/Systems, Computers, and Communications (ITC-CSCC)","22 Aug 2024","2024","","","1","6","Diagnosing students' mathematical proficiency is a challenging task for teachers, as using technology such as machine learning together with mathematical procedures is an interesting approach to diagnose the mathematical proficiency of Grade 7 students. The objective of this research was to diagnose the levels of mathematical proficiency in the dimensions of mathematical procedures, number, and algebra strand for Grade 7 students, using a design research methodology. The findings indicate that most students, 79%, have a good foundation of knowledge, concepts, and basic skills, ready to learn supplementary smart lessons. However, they still have misconceptions and gaps in interpreting language and symbols, and lack understanding of fundamental math concepts, which makes it difficult for them to solve basic or multi-step word problems.","2997-741X","979-8-3503-7905-1","10.1109/ITC-CSCC62988.2024.10628212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628212","Personalized Learning;Mathematical Procedures;Number and Algebra;Machine Learning Diagnostic Platform","Computers;Algebra;Design methodology;Symbols;Machine learning;Solids;Task analysis","","","","15","IEEE","22 Aug 2024","","","IEEE","IEEE Conferences"
"Hands-on Active Learning Approach to Teach Artificial Intelligence/Machine Learning to Elementary and Middle School Students","N. Sinha; R. F. Evans; M. Carbo","Department of Mathematics and Computer Science, Fairleigh Dickinson University, Madison, NJ, USA; Dept. of Math and Comp Sci, FDU CS Hub and Haskell Elementary School, Wanaque School District, Haskell, NJ, USA; Department of Mathematics and Computer Science, Fairleigh Dickinson University, Madison, NJ, USA",2023 32nd Wireless and Optical Communications Conference (WOCC),"7 Jun 2023","2023","","","1","6","The last decade has seen a surge in expanding access to Computer Science (CS) education, especially for K-12, with many states even stipulating student learning standards in CS and Computational Thinking (CT). Our 21st century K-12 students are no longer just computer users, but are now required to be computationally literate creators with proficient skills both in the concepts and practices of CS and CT. At the same time, technology continues to pervade our lives and expand at a relentless pace and all aspects of our lives are now embedded in technology surrounded by Artificial Intelligence (AI). AI in the form of Machine Learning (ML) is a key technology in a diversity of applications, where we use sensors to meaningfully perceive the world around us, analyze and organize the perceived data, and autonomously use that data to make predictions and decisions. In higher education, AI/ML courses proliferate, with many institutions now conferring degrees and certifications in these. To an extent, some high schools (grades 9–12) have started introducing these concepts in a technology class, or a robotics club, or as an after-school activity. As for middle (grades 6–8) and elementary school (grades K-5), there are very few examples of such instruction. In this paper, we present a complete framework for elementary and middle school teachers to help them prepare and incorporate AI/ML lessons in their classrooms using hands-on active learning strategies. We want to empower these teachers to impart improved learning to their students, which in turn will prepare their students to become effective thinkers, problem solvers, communicators, and gain necessary skills for high-skilled and high-demand jobs. We describe a detailed AI/ML lesson plan based on standards and framework, AI4K12 big ideas, art and science of curriculum design, active learning, and culturally responsive and inclusive pedagogy. Then we discuss our experiences in teaching the same to $\boldsymbol{4}^{\mathbf{th}}$ grade students in an elementary school.","2379-1276","979-8-3503-3715-0","10.1109/WOCC58016.2023.10139678","FDU CS Hub; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10139678","Hands-on active learning curriculum framework;Artificial Intelligence;Machine Learning;lesson plans - grades elementary school;grades 6–8 middle school;AI4K12 big ideas;culturally responsive and inclusive pedagogy;CS Hub;New Jersey Department of Education Student Learning Standards","Wireless communication;Wireless sensor networks;Education;Learning (artificial intelligence);Machine learning;Optical fiber communication;Surges","","3","","20","IEEE","7 Jun 2023","","","IEEE","IEEE Conferences"
"The Impact of Middle and High School Students Participation in the Innovation Nation Competition on Their Education","D. Mustafa; S. Zriqat; I. G. Mustafa; Q. AlThebyan","dept. of Computer Engineering, College of Engineering, The Hashemite University, Zarqa, Jordan; dept. of Information Technology and Computer Science, Yarmouk University, Irbid, Jordan; dept. of Educational Sciences, College of Education, Qatar University, Doha, Qatar; Cybersecurity Program, Al Ain University, Al Ain, UAE",2023 24th International Arab Conference on Information Technology (ACIT),"18 Mar 2024","2023","","","1","6","The Innovative Nation competition is a Jordanian initiative that uses workshops, training camps, and competitions to improve students' general and soft skills, problem-solving, creativity, and invention. The curriculum is divided into three parts, each of which has the potential to increase interest in Science, Technology, Engineering, and Mathematics (STEM). The goal of this research is to determine how much the STEM competition has influenced students' education and decision to pursue jobs in science and technology. Personal interviews with students and mentors were employed in this study to assess their skill sets, prospective career paths, and interests. The collected data was reviewed, and it was found that participation in the Innovation Nation competition increased students' interest in STEM vocations.","2831-4948","979-8-3503-8430-7","10.1109/ACIT58888.2023.10453753","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10453753","non-curricular learning;education;STEM;Innovation;Artificial intelligence;PictoBlox","Training;Technological innovation;Engineering profession;Sociology;Problem-solving;Interviews;Statistics","","","","28","IEEE","18 Mar 2024","","","IEEE","IEEE Conferences"
"ChatGPT, Finances, and Degree Attainment: Increasing Generative Artificial Intelligence (AI) Utilization and Implications for Students' Decision-Making","T. Fletcher","School of Universal Computing Construction and Engineering Education (SUCCEED) Florida International University, Miami, FL",2024 IEEE Frontiers in Education Conference (FIE),"26 Feb 2025","2024","","","1","7","Students’ decision-making related to attending college for science, technology, engineering, and mathematics (STEM) degrees and retaining them within those fields continue to be of focus, especially when considering the national goal of satisfying industry, private, and public sector workforce needs. This is particularly important when considering growing national security concerns and ongoing high cybersecurity and climate change workforce demands. However, despite concerted efforts, low enrollment and student attrition continue to be a challenge, even more so since the onset of the global pandemic. Simultaneously, the utilization of generative artificial intelligence (AI) has seen a sharp increase since 2022 by various stakeholders, most notably college students. Additionally, faculty are encouraged by their higher education institutions to incorporate these tools within classrooms for several reasons, including demands from industry for students to gain knowledge and experience with generative AI tools. Given the importance of understanding the ongoing issue of STEM degree attrition and the increasing utilization of generative AI, this research study explored these two areas using ChatGPT, one of the world's most utilized generative AI language models, within the process. The first research question (RQ#l) is: What is the top reason why students do notfinish college? The response provided solely emphasized finances and/or financial constraints. Based on that answer, the second research question (RQ #2) was: Is getting a college degree worth the cost? RQ #2 was explored to allow a deeper understanding of the initial research question from a different angle. Both questions were analyzed through the lens of two theoretical frameworks, the human capital theory and the principal-agent theory, and results were compared to the literature as a form of research validation. This research study is essential as there is an ongoing increase in the utilization of generative AI in homes, K-12 institutions, and higher education for everyday knowledge, formal and informal education. When considering that soon-to-be and current college students may be using these generative AI tools to make decisions related to pursuing and/or retaining their educational status, it is essential to explore how generative AI system outputs align with what has been researched and documented in the literature. Therefore, this research study explored the application of ChatGPT and the system's responses to research questions as a form of document analysis and analyzed those results using triangulation as a form of validation. The analysis and results of this study contributed directly to the recommendations and feedback to the owners of ChatGPT - OpenAI. Additionally, the results highlighted a need for increased focus on AI ethics related to data input, data output, access to the system, and who has a seat at the table as the company recommends, approves, and implements changes. Limitations of this study are provided along with an overarching concluding statement.","2377-634X","979-8-3503-5150-7","10.1109/FIE61694.2024.10892857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10892857","Attrition;STEM;Artificial Intelligence (AI);AI Ethics and Bias","Industries;Training;Ethics;Text analysis;Generative AI;Decision making;Chatbots;Regulation;Stakeholders;STEM","","","","52","IEEE","26 Feb 2025","","","IEEE","IEEE Conferences"
