title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;selection_criteria;status;Keywords;domain_suggested
Scholar performance prediction using boosted regression trees techniques;Stearns, Bernardo and Rangel, Fabio and Rangel, Flavio and De Faria, Fabrício Firmino and Oliveira, Jonice;ESANN 2017 - Proceedings, 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning;2017;Scopus;329 – 334;;The possibility of predicting a student performance based only on their so- cioeconomic status may help to infer what cultural features are important in education. This work was based on scores and socioeconomic data from the most popular exam to enter universities in Brazil: The National High School Exam. Statistical and computational methods used in data mining were applied on a data set of 8 millions data points from Brazil's National High School Exam to examine the predictability of the performance in Mathematics based on socioeconomic status. The results showed that it is possible to predict a students' scores using two ensemble techniques: AdaBoost and Gradient Boosting. The latter presented better results. © ESANN 2017 - Proceedings, 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning. All rights reserved.;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063550732&partnerID=40&md5=84619531eef0d1257efd2c7a42ccdf29;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;;Estadística/Probabilidad
Intelligent system for interactive teaching through videogames;Robles, Diego and Quintero M., Christian G.;Sustainability (Switzerland);2020;Scopus;;12;Education, videogames, and intelligent systems are all relevant topics for researchers. Determining means of improving academic performance using a range of techniques and tools is an important challenge. However, while there are currently websites and multimedia resources that help students to improve their knowledge on specific topics, these lack in not having intelligent agents that can evaluate students and recommend materials to suit the difficulty that a user is having in a given subject. In this sense, this paper aims at developing an intelligent system that allows interactive teaching in basic education using videogames. In particular, high school students' skills in basic mathematical operations with fractions were used for testing experimentally the approach. An intelligent system was developed using computational techniques such as fuzzy logic and case-based reasoning to evaluate user performance and recommend additional study material according to the specific challenges from the given educational game. The use of the games was supported by ICT (information and communication technologies) tools on a web platform. Such a developed platform was tested by 206 high school students, who played 5400 games in total. The students showed an improvement of around 14% in the topics covered. The results indicate that the implementation jointly of videogames and intelligent systems allows users to improve their performance in the given topics. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.;Article;10.3390/SU12093573;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085965397&doi=10.3390%2fSU12093573&partnerID=40&md5=669d74a6dfb9199c4c0026d9449f8eeb;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;" education; videogames; intelligent systems; fuzzy logic; case-based reasoning; ICT; interactive education";Didactic Activities
Data Mining for Statistical Evaluation of Summative and Competency-Based Assessments in Mathematics;Gocheva-Ilieva, Snezhana and Teofilova, Marta and Iliev, Anton and Kulina, Hristina and Voynikova, Desislava and Ivanov, Atanas and Atanasova, Pavlina;Advances in Intelligent Systems and Computing;2020;Scopus;207 – 216;951;"Measuring student achievement and competencies in mathematics is important for the teacher and the educational system, as well as in view of improving the motivation to learn among students. In this study we aim to develop an assessment methodology based on data mining approach. Two data mining techniques &#x2013; cluster analysis and classification and regression trees (CART) are applied to investigate the influence of assessment elements on the final grade in two core mathematical subjects - linear algebra and analytical geometry. In addition, the specialty, academic year of education, and the sex of the students, as well as competency-based test results on content covered by secondary education curriculum are included. Using hierarchical cluster analysis the variables of scale type are classified into two clusters. CART models are built to regress and predict the summative assessment results in dependence of examined variables. The obtained models fit well over 90% of the data. It was established the relative importance of used variables in the model. The obtained results help to measure directly the student achievements and competencies in mathematics. &#x00A9; 2020, Springer Nature Switzerland AG.";Conference paper;10.1007/978-3-030-20005-3_21;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065698742&doi=10.1007%2f978-3-030-20005-3_21&partnerID=40&md5=534b3175d50f9a2a31f4a81e8fa8f490;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Mathematical competencies;Álgebra
Digital Device and Mathematics: Multilevel vs Machine Learning Models for Value-added Ranking in Italy;Papa, Donatella;International Conference on Computer Supported Education, CSEDU - Proceedings;2022;Scopus;171 – 178;2;With the COVID-19 pandemic and the development of distance education programs, digital learning is popular and strategic in many learning fields. The deployment of Information and Communications Technology and its impact on both national and international learning programs are becoming increasingly significant. This study seeks to explore in the Italian context both the effectiveness of digital learning in Mathematics Education and which features and how affect value-added at the classroom level. To explore Information and Communications Technology contribution and value-added scoring, the study takes into consideration the analytical power of classical multilevel models concerning the predictive power of different types of machine learning models. The study aims to investigate how Information and Communications Technology, and related concepts, impact the Weighted Likelihood Estimates in Mathematics for students in the lower secondary school, using data from the INVALSI of the school year 2017/2018. The main finding is that Personal Computer ownership at home plays an important role in mathematical learning. Finally, a machine learning model incorporated in the educational domain can be an interesting starting point for developing class-predictive policies. Copyright © 2022 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.;Conference paper;10.5220/0011042700003182;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140913824&doi=10.5220%2f0011042700003182&partnerID=40&md5=765f988062b15e4555211c81059220ff;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Classification and Regression Trees;Estadística/Probabilidad
DIDACTIC ACTIVITIES ON ARTIFICIAL INTELLIGENCE: THE PERSPECTIVE OF STEM TEACHERS;Fissore, Cecilia and Floris, Francesco and Marchisio, Marina and Sacchet, Matteo;Proceedings of the 19th International Conference on Cognition and Exploratory Learning in the Digital Age, CELDA 2022;2022;Scopus;11 – 18;;"The concept of Artificial Intelligence (AI) might seem something very distant from the world of schools: a theme that is far from today's reality, especially when the education and training system is committed to tackling the problems associated with the pandemic situation. However, the impact that AI is producing in various areas of our life also requires reflection on the world of education and training. Research and education policies are therefore required to direct education to prepare students for technological challenges, enabling schools and teachers to guide innovation. It is necessary to train teachers not only on the theoretical contents inherent to these themes, but also and above all on the planning of didactic activities to adopt innovative educational approaches. The context of this research is the immersive 3-hour workshop on the theme ""Mathematics and AI"" which involved 52 teachers from all over Italy from primary to secondary school. The research questions are: What is the current teaching practice in schools in Italy in terms of AI? Which characteristics should be emphasized, and which aspects should be favored in the planning of didactic activities by school teachers? To answer the research questions, we analyzed teachers' responses to the initial questionnaire before the workshop and to the final questionnaire at the end of the workshop. Key findings show that teachers do not treat AI-related topics too much with their classes while being aware of the importance of recognizing and understanding AI. © 2022 Proceedings of the 19th International Conference on Cognition and Exploratory Learning in the Digital Age, CELDA 2022. All rights reserved.";Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147507436&partnerID=40&md5=ccc6191d533e5f8bc1d1e9c2c63d28bc;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Artificial Intelligence; Didactic Activities; Mathematics; Primary School; Secondary School; Teachers";Didactic Activities
CONIC10K: A Challenging Math Problem Understanding and Reasoning Dataset;Wu, Haoyi and Hui, Wenyang and Chen, Yezeng and Wu, Weiqi and Tu, Kewei and Zhou, Yi;Findings of the Association for Computational Linguistics: EMNLP 2023;2023;Scopus;6444 – 6458;;Mathematical understanding and reasoning are crucial tasks for assessing the capabilities of artificial intelligence (AI). However, existing benchmarks either require just a few steps of reasoning, or only contain a small amount of data in one specific topic, making it hard to analyse AI's behaviour with reference to different problems within a specific topic in detail. In this work, we propose CONIC10K, a challenging math problem dataset on conic sections in Chinese senior high school education. Our dataset contains various problems with different reasoning depths, while only the knowledge from conic sections is required. Since the dataset only involves a narrow range of knowledge, it is easy to separately analyse the knowledge a model possesses and the reasoning ability it has. For each problem, we provide a high-quality formal representation, the reasoning steps, and the final solution. Experiments show that existing large language models, including GPT-4, exhibit weak performance on complex reasoning. We hope that our findings could inspire more advanced techniques for precise natural language understanding and reasoning. Our dataset and codes are available at https://github.com/whyNLP/Conic10K. © 2023 Association for Computational Linguistics.;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183310881&partnerID=40&md5=3ea4347019e885d0fad09a7e5ee912a8;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;;Teaching problem solving
A Machine Learning and Explainable AI Approach for Predicting Secondary School Student Performance;Hasib, Khan Md. and Rahman, Farhana and Hasnat, Rashik and Alam, Md. Golam Rabiul;2022 IEEE 12th Annual Computing and Communication Workshop and Conference, CCWC 2022;2022;Scopus;399 – 405;;An essential component of the educational activity is rigorous examination and assessment of students' results, with a potential substantial influence on student growth. This paper offers a predictional model for student's success in secondary education using five classification algorithms: Logistic Regression, K-Nearest Neighbors (KNN), Support Vector Machine (SVM), XGBoost, and Naive Bayes, where the data is gathered from two Portuguese school reports and surveys. The two core disciplines (Mathematics subject and Portuguese language) of the dataset were modeled around binary/five-level classification tasks which is imbalanced. The imbalanced dataset is also balanced by using K-Means SMOTE (Synthetic Minority Oversampling Technique) before classification. The test results reveal that obtaining the most outstanding accuracy value is 96.89% of Support Vector Machine (SVM) is superior to Logistic Regression, KNN, XG-Boost, and Naive Bayes. Therefore, it is essential to consider whether a model makes a particular prediction. Thus, we then train an interpretable LIME (Local Interpretable Model-agnostic Explanations) model for all the classifiers and the construction of explainable models can have a major advantage: the model can be confident, the transparency of the model helps to understand the underlying processes for working. © 2022 IEEE.;Conference paper;10.1109/CCWC54503.2022.9720806;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127631449&doi=10.1109%2fCCWC54503.2022.9720806&partnerID=40&md5=91c1f3098f09cdfb7686a5801c1f3a79;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Classification; Interpretable explanation; LIME; Machine learning; Prediction; Students performance";Estadística/Probabilidad
Prediction of Student Performance using Genetically Optimized Feature Selection with Multiclass Classification;Begum, Safira and Padmannavar, Sunita S.;International Journal of Engineering Trends and Technology;2022;Scopus;223 – 235;70;Educational data mining is the key aspect of improving students' performance in education. the academic performance of students or instructors can be predicted by using the techniques and algorithms in educational data mining and data mining. the paper proposed a machine learning approach to predict the academic performance of secondary school students in Mathematics and Portuguese lessons. the proposed algorithm primarily applies the normalization and z-score normalization in the pre-processing stage to solve the unbalanced class distribution problem. Then, feature selection processes are performed using a Genetic algorithm. Students' success in Mathematics and Portuguese lessons is estimated by the k-nearest neighbour (KNN), linear discriminant analysis (LDA) and support vector machine (SVM) classifications. the experimental results compare the accuracy, precision, F-score, and sensitivity values of the abovementioned methods.  © 2022 Seventh Sense Research Group®.;Article;10.14445/22315381/IJETT-V70I4P219;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129674470&doi=10.14445%2f22315381%2fIJETT-V70I4P219&partnerID=40&md5=2526022506eed785c295fdb44b70d856;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Educational Data Mining; K-Nearest Neighbour; Linear Discriminant Analysis; Machine Learning; Support Vector Machine";Estadística/Probabilidad
Towards explainable group formation by knowledge map based genetic algorithm;Flanagan, Brendan and Liang, Changhao and Majumdar, Rwitajit and Ogata, Hiroaki;Proceedings - IEEE 21st International Conference on Advanced Learning Technologies, ICALT 2021;2021;Scopus;370 – 372;;In recent years, machine learning of increasing complexity is being applied to problems in education. However, there is an increasing call for transparency and understanding into how the results of complex models are derived, leading to explainable AI gaining attention. The application of machine learning to automated group formation for collaborative work from learning system logs and other data has been progressing. Building on previous research in this field, we propose a group formation method that is based on a combination of course knowledge structures, reading behavior, and assessment analysis to create optimal heterogenous and homogeneous working groups using a genetic algorithm. The characteristics of each group are presented for explanation as a visualized knowledge map showing the strengths and weaknesses of each group, and are in the structure form of curriculum. We also present a case study of applying the method to junior high school mathematics log data, and provide explanation in a visualized form of standardized curriculum of group characteristics that are often referenced for learning design by teachers.  © 2021 IEEE.;Conference paper;10.1109/ICALT52272.2021.00119;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114891262&doi=10.1109%2fICALT52272.2021.00119&partnerID=40&md5=af7bc796a028132b1dba895dde5ed8d4;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Group information, genetic algorithm, explainable;Pensamiento Computacional
A Novel Machine Learning and Artificial Intelligence Course for Secondary School Students;Mahon, Joyce and Quille, Keith and Mac Namee, Brian and Becker, Brett A.;SIGCSE 2022 - Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V.2;2022;Scopus;1155;;"We present an overview of a ""Machine Learning and Artificial Intelligence""course that is part of a large online course platform for upper second level students. We take a novel approach to teaching fundamental AI concepts that does not require code, and assumes little prior knowledge including only basic mathematics. The design ethos is for students to gain an understanding of how algorithms can ""learn"". Many misconceptions exist about this term with respect to AI and can lead to confusion and more serious misconceptions, particularly for students who engage with AI-enabled tools regularly. This approach aims to provide insights into how AI actually works, to demystify and remove barriers to more advanced learning, and to emphasize the important roles of ethics and bias in AI. We took several steps to engage students, including videos narrated by a final-year second-level student (US 12th grade). We present design and logistics particulars on this course which is currently being taken by ?7,000 students in Ireland. We believe this will be of value to other educators and the wider community. © 2022 Owner/Author.";Conference paper;10.1145/3478432.3499073;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127385229&doi=10.1145%2f3478432.3499073&partnerID=40&md5=bb02488965537bcd08f00d78894c82b0;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"ai; artificial intelligence; computing education k-12; machine learning; outreach";Didactic Activities
